Gross Domestic Product (Taka in Millions),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Base Year: 2005-06,,,,,,,,,
,,,,,,,,,
Construction ,321956.90133824875,340235.2161120944,359616.0,385542.0,412350.0,447089.0,483046.0,522087.0,566983.0
Wholesale and Retail Trade ,660890.428414373,705961.2759565936,749785.0,812193.0,866497.0,924574.0,981731.0,1047757.0,1114256.0
Hotel and Restaurants,35373.54360056313,38044.81094901472,40928.0,43390.0,46079.0,49021.0,52204.0,55701.0,59504.0
"Transport, Storage and Communication",506133.5354704361,549385.1252133723,593396.0,640059.0,694094.0,757609.0,805140.0,853824.0,904748.0
Land Transport,352971.81412530533,369004.38598260854,388092.0,421685.0,451976.0,482827.0,511361.0,539808.0,573182.0
Water transport,49375.91693439448,50633.28305797794,51880.0,53495.0,55055.0,56765.0,58588.0,60433.0,62622.0
Air Transport,5326.107274741423,5657.30839138706,6074.0,7460.0,8596.0,9092.0,8943.0,8997.0,9781.0
"Support transport services, storage ",27884.204402443378,30239.020703699927,33156.0,34671.0,38821.0,45653.0,47187.0,48407.0,51005.0
Post and Telecommunication,80853.97557223923,98351.65394913689,114194.0,122747.0,139645.0,163271.0,179061.0,196179.0,208159.0
Financial Intermediations,132522.26735854935,144304.37394455101,157283.0,167107.0,184559.0,211797.0,231097.0,247902.0,267192.0
Banks,106454.78952347429,115373.30877370528,125817.0,129782.0,146633.0,172451.0,191197.0,207117.0,224700.0
Insurances,17517.697606403446,19275.094897252366,20891.0,24878.0,25795.0,26933.0,27098.0,27517.0,28604.0
Others ,8460.83071484682,9515.838570306363,10575.0,12447.0,12131.0,12413.0,12802.0,13267.0,13888.0
"Real Estate, Renting and Business Activities ",386266.9937816827,400764.62675577233,416051.0,440778.0,457896.0,475864.0,495089.0,516147.0,538880.0
Public Administration and Defense ,153503.48770003172,163037.81840455902,174471.0,188823.0,205518.0,220994.0,235419.0,251646.0,276365.0
Education ,111983.22606614839,120718.19189106031,130439.0,129306.0,136588.0,147175.0,156447.0,167809.0,181250.0
Health and Social Works,92689.83407569482,99200.53111406318,106340.0,113600.0,120801.0,125402.0,131367.0,138021.0,145174.0
"Community, Social and Personal Services",488324.84055792575,510866.8884390664,534893.0,641909.0,662646.0,684163.0,706426.0,729554.0,753518.0
Total GVA at constant basic price,4767265.320278253,5047330.110499099,5345311.0,5794253.0,6179206.0,6594308.0,6999363.0,7429801.0,7915384.0
Tax less subsidy,,,,,,,,311560.0,333240.0
GDP at constant market prices,5163830.0,5474370.0,5750560.0,6070970.0,6463420.0,6884930.0,7298960.0,7741361.0,8248624.0
Gross Domestic Product by Expenditure at Current Prices,,,,,,,,,
Domestic demand (1)+(2),,,,,,,12750971.0,14308511.0,16177888.0
Consumption (1),,,,,,,9347273.0,10468575.0,11799237.0
Private,4062644.0,4754869.0,5257991.0,5910930.0,6802819.0,7780747.0,8733888.0,9751386.0,10980061.0
General Govt.,294663.0,325549.0,359146.0,404777.0,466839.0,531753.0,613385.0,717189.0,819176.0
Investment (2),1439293.0,1647290.0,1847715.0,2093272.0,2511292.0,2982253.0,3403697.0,3839936.0,4378651.0
Private,,,,,,,2607486.0,2960024.0,3344722.0
Public,,,,,,,796211.0,879912.0,1033929.0
Resource balance (3)-(4),,,,,,,-865701.0,-878059.0,-1123611.0
Exports (3),934403.0,1110181.0,1194401.0,1277985.0,1824521.0,2127459.0,2342441.0,2551592.0,2627897.0
Imports (4),1261628.0,1569320.0,1632429.0,1736938.0,2518417.0,2949225.0,3208142.0,3429651.0,3751508.0
Gross Domestic Exp. at m.p.,,,,,,10472987.0,11885270.0,13430452.0,15054277.0
Gross Domestic Product at m.p.(5),5498000.0,6286820.0,7050720.0,7975390.0,9158290.0,10552040.0,11989230.0,13436740.0,15158020.0
Statistical Discrepancy (6),28623.0,18253.0,23894.0,25361.0,71234.0,79053.0,103962.0,6292.0,103745.0
Net factor income from abroad (7),352755.0,483895.0,559012.0,646035.0,725135.0,893020.0,964291.0,895494.0,984021.0
Gross National Income at m.p. (8)=(5)+(7),5850752.0,6770717.0,7609730.0,8621422.0,9883423.0,11445060.0,12953523.0,14332238.0,16142043.0
Net current transfers from abroad (9),39885.0,56713.0,24069.0,42479.0,31015.0,17909.0,53749.0,63342.0,56001.0
Gross Disposible National Income (10)=(8)+(9),5890637.0,6827430.0,7633799.0,8663901.0,9914438.0,11462969.0,13007272.0,14395580.0,16198044.0
Gross Domestic saving (11)=(5)-(1),,,,,,,2641959.0,2968169.0,3358785.0
Gross National saving (12)=(10)-(1),1533331.0,1747012.0,2016662.0,2348194.0,2644780.0,3150469.0,3659999.0,3927005.0,4398807.0
Current Account Balance (13)=(12)-(2)-(6),,,,,,,152339.0,80777.0,-83589.0
Memo items: (% of GDP),,,,,,,,,
Comsumption,,,,,,,77.96,77.91,77.84
Private,,,,,,,72.8,72.57,72.44
General Govt.,,,,,,,5.12,5.34,5.4
Investment,,,,,,,28.39,28.58,28.89
Private,,,,,,,21.75,22.03,22.07
Public,,,,,,,6.64,6.55,6.82
Exports of goods & services,,,,,,,19.54,18.99,17.34
Imports of goods & services,,,,,,,26.76,25.52,24.75
Gross Domestic saving,,,,,,,22.04,22.09,22.16
Gross National saving,,,,,,,30.53,29.23,29.02
Gross Domestic Product by Expenditure at Constant Prices,,,,,,,,,
Domestic demand (1)+(2),,,,,,,7490025.0,7933480.0,8438208.0
Consumption (1),,,,,,,5282071.0,5507931.0,5839989.0
Private,,,,,,,4913936.0,5110768.0,5408068.0
General Govt.,,,,,,,368135.0,397163.0,431921.0
Investment (2),,,,,,,2207954.0,2425549.0,2598219.0
Private,,,,,,,1713349.0,1873379.0,1986084.0
Public,,,,,,,494605.0,552170.0,612135.0
Resource balance (3)-(4),,,,,,,-255176.0,-228952.0,-325733.0
Exports (3),,,,,,,1436734.0,1482726.0,1440765.0
Imports (4),,,,,,,1691911.0,1711678.0,1766498.0
Gross Domestic Exp. at m.p.,,,,,,,7234849.0,7704528.0,8112475.0
Gross Domestic Product at m.p.(5),5163830.0,5474370.0,5750560.0,6070970.0,6463420.0,6884930.0,7298960.0,7741361.0,8248624.0
Statistical Discrepancy (6),,,,,,,64116.0,36833.0,136149.0
Net factor income from abroad (7),,,,,,,587054.0,515924.0,535480.0
Gross National Income at m.p. (8)=(5)+(7),,,,,,,7886019.0,8257285.0,8784104.0
Net current transfers from abroad (9),,,,,,,32722.0,36493.0,30474.0
Gross Disposible National Income (10)=(8)+(9),,,,,,,7918741.0,8293779.0,8814578.0
