ADM3_EN,ADM3_PCODE,ADM3_REF,ADM3ALT1_EN,ADM3ALT2_EN,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,DATE,VALIDON,VALIDTO,AREA_SQKM
Sundarganj,BD553291,,,,Gaibandha,BD5532,Rangpur,BD55,Bangladesh,BD,2015-01-01,2020-11-13,,414.992356747945
Sutrapur,BD302688,,,,Dhaka,BD3026,Dhaka,BD30,Bangladesh,BD,2015-01-01,2020-11-13,,2.1932733375405
Sylhet Sadar,BD609162,,,,Sylhet,BD6091,Sylhet,BD60,Bangladesh,BD,2015-01-01,2020-11-13,,317.703557088773
Tahirpur,BD609092,,,,Sunamganj,BD6090,Sylhet,BD60,Bangladesh,BD,2015-01-01,2020-11-13,,316.551097839989
Tala,BD408790,,,,Satkhira,BD4087,Khulna,BD40,Bangladesh,BD,2015-01-01,2020-11-13,,335.08781976953
Tangail Sadar,BD309395,,,,Tangail,BD3093,Dhaka,BD30,Bangladesh,BD,2015-01-01,2020-11-13,,319.949282131992
Tanore,BD508194,,,,Rajshahi,BD5081,Rajshahi,BD50,Bangladesh,BD,2015-01-01,2020-11-13,,297.402954948975
Taraganj,BD558592,,,,Rangpur,BD5585,Rangpur,BD55,Bangladesh,BD,2015-01-01,2020-11-13,,131.796185192793
Tarail,BD304892,,,,Kishoreganj,BD3048,Dhaka,BD30,Bangladesh,BD,2015-01-01,2020-11-13,,142.752543396979
Tarash,BD508889,,,,Sirajganj,BD5088,Rajshahi,BD50,Bangladesh,BD,2015-01-01,2020-11-13,,301.251233098793
Tazumuddin,BD100991,,,,Bhola,BD1009,Barisal,BD10,Bangladesh,BD,2015-01-01,2020-11-13,,161.522431504599
Tejgaon,BD302690,,,,Dhaka,BD3026,Dhaka,BD30,Bangladesh,BD,2015-01-01,2020-11-13,,2.46591072678905
Tejgaon Ind. Area,BD302692,,,,Dhaka,BD3026,Dhaka,BD30,Bangladesh,BD,2015-01-01,2020-11-13,,3.28662553366525
Teknaf,BD202290,,,,Cox's Bazar,BD2022,Chittagong,BD20,Bangladesh,BD,2015-01-01,2020-11-13,,316.988526801482
Tentulia,BD557790,,,,Panchagarh,BD5577,Rangpur,BD55,Bangladesh,BD,2015-01-01,2020-11-13,,188.623042191009
Terokhada,BD404794,,,,Khulna,BD4047,Khulna,BD40,Bangladesh,BD,2015-01-01,2020-11-13,,184.167595466248
Thakurgaon Sadar,BD559494,,,,Thakurgaon,BD5594,Rangpur,BD55,Bangladesh,BD,2015-01-01,2020-11-13,,693.3059444594049
Thanchi,BD200395,,,,Bandarban,BD2003,Chittagong,BD20,Bangladesh,BD,2015-01-01,2020-11-13,,1078.91179960684
Titas,BD201994,,,,Comilla,BD2019,Chittagong,BD20,Bangladesh,BD,2015-01-01,2020-11-13,,107.946808217773
Tongibari,BD305994,,,,Munshiganj,BD3059,Dhaka,BD30,Bangladesh,BD,2015-01-01,2020-11-13,,122.293679102068
Trishal,BD456194,,,,Mymensingh,BD4561,Mymensingh,BD45,Bangladesh,BD,2015-01-01,2020-11-13,,336.756802204335
Tungi Para,BD303591,,,,Gopalganj,BD3035,Dhaka,BD30,Bangladesh,BD,2015-01-01,2020-11-13,,126.416968910796
Turag,BD302693,,,,Dhaka,BD3026,Dhaka,BD30,Bangladesh,BD,2015-01-01,2020-11-13,,25.110258592404
Ukhia,BD202294,,,,Cox's Bazar,BD2022,Chittagong,BD20,Bangladesh,BD,2015-01-01,2020-11-13,,259.382863013123
Ulipur,BD554994,,,,Kurigram,BD5549,Rangpur,BD55,Bangladesh,BD,2015-01-01,2020-11-13,,461.014864882697
Ullah Para,BD508894,,,,Sirajganj,BD5088,Rajshahi,BD50,Bangladesh,BD,2015-01-01,2020-11-13,,414.604984050802
Uttar Khan,BD302696,,,,Dhaka,BD3026,Dhaka,BD30,Bangladesh,BD,2015-01-01,2020-11-13,,20.253603245679
Uttara,BD302695,,,,Dhaka,BD3026,Dhaka,BD30,Bangladesh,BD,2015-01-01,2020-11-13,,7.00288997546261
Wazirpur,BD100694,,,,Barisal,BD1006,Barisal,BD10,Bangladesh,BD,2015-01-01,2020-11-13,,252.199640017738
Zakiganj,BD609194,,,,Sylhet,BD6091,Sylhet,BD60,Bangladesh,BD,2015-01-01,2020-11-13,,263.589092978219
Zanjira,BD308694,,,,Shariatpur,BD3086,Dhaka,BD30,Bangladesh,BD,2015-01-01,2020-11-13,,258.420512373419
Zianagar,BD107990,,,,Pirojpur,BD1079,Barisal,BD10,Bangladesh,BD,2015-01-01,2020-11-13,,100.714674142076
