ADM3_EN,ADM3_PCODE,ADM3_REF,ADM3ALT1_EN,ADM3ALT2_EN,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,DATE,VALIDON,VALIDTO,AREA_SQKM
Nagarkanda,BD302962,,,,Faridpur,BD3029,Dhaka,BD30,Bangladesh,BD,2015-01-01,2020-11-13,,197.789924407809
Nagarpur,BD309376,,,,Tangail,BD3093,Dhaka,BD30,Bangladesh,BD,2015-01-01,2020-11-13,,248.304882449175
Nageshwari,BD554961,,,,Kurigram,BD5549,Rangpur,BD55,Bangladesh,BD,2015-01-01,2020-11-13,,422.745946894892
Naikhongchhari,BD200373,,,,Bandarban,BD2003,Chittagong,BD20,Bangladesh,BD,2015-01-01,2020-11-13,,475.00155490046
Nakla,BD458967,,,,Sherpur,BD4589,Mymensingh,BD45,Bangladesh,BD,2015-01-01,2020-11-13,,174.333181401264
Nalchity,BD104273,,,,Jhalokati,BD1042,Barisal,BD10,Bangladesh,BD,2015-01-01,2020-11-13,,219.816676786919
Nalitabari,BD458970,,,,Sherpur,BD4589,Mymensingh,BD45,Bangladesh,BD,2015-01-01,2020-11-13,,327.37174028026
Nandail,BD456172,,,,Mymensingh,BD4561,Mymensingh,BD45,Bangladesh,BD,2015-01-01,2020-11-13,,329.212355582572
Nandigram,BD501067,,,,Bogra,BD5010,Rajshahi,BD50,Bangladesh,BD,2015-01-01,2020-11-13,,264.760928958247
Nangalkot,BD201987,,,,Comilla,BD2019,Chittagong,BD20,Bangladesh,BD,2015-01-01,2020-11-13,,235.507909216249
Naniarchar,BD208475,,,,Rangamati,BD2084,Chittagong,BD20,Bangladesh,BD,2015-01-01,2020-11-13,,323.450814676628
Naogaon Sadar,BD506460,,,,Naogaon,BD5064,Rajshahi,BD50,Bangladesh,BD,2015-01-01,2020-11-13,,270.529317058715
Narail Sadar,BD406576,,,,Narail,BD4065,Khulna,BD40,Bangladesh,BD,2015-01-01,2020-11-13,,385.358706972661
Narayanganj Sadar,BD306758,,,,Narayanganj,BD3067,Dhaka,BD30,Bangladesh,BD,2015-01-01,2020-11-13,,99.9297151680893
Naria,BD308665,,,,Shariatpur,BD3086,Dhaka,BD30,Bangladesh,BD,2015-01-01,2020-11-13,,241.253618716429
Narsingdi Sadar,BD306860,,,,Narsingdi,BD3068,Dhaka,BD30,Bangladesh,BD,2015-01-01,2020-11-13,,219.826496860056
Nasirnagar,BD201290,,,,Brahamanbaria,BD2012,Chittagong,BD20,Bangladesh,BD,2015-01-01,2020-11-13,,316.339021199306
Natore Sadar,BD506963,,,,Natore,BD5069,Rajshahi,BD50,Bangladesh,BD,2015-01-01,2020-11-13,,403.245691773105
Nawabganj,BD302662,,,,Dhaka,BD3026,Dhaka,BD30,Bangladesh,BD,2015-01-01,2020-11-13,,249.979179997841
Nawabganj,BD552769,,,,Dinajpur,BD5527,Rangpur,BD55,Bangladesh,BD,2015-01-01,2020-11-13,,317.712511561384
Nawabganj Sadar,BD507066,,,,Nawabganj,BD5070,Rajshahi,BD50,Bangladesh,BD,2015-01-01,2020-11-13,,433.12052848327
Nazirpur,BD107976,,,,Pirojpur,BD1079,Barisal,BD10,Bangladesh,BD,2015-01-01,2020-11-13,,226.866789348225
Nesarabad (Swarupkati),BD107987,,,,Pirojpur,BD1079,Barisal,BD10,Bangladesh,BD,2015-01-01,2020-11-13,,185.644727883846
Netrokona Sadar,BD457274,,,,Netrakona,BD4572,Mymensingh,BD45,Bangladesh,BD,2015-01-01,2020-11-13,,334.872440659126
New Market,BD302663,,,,Dhaka,BD3026,Dhaka,BD30,Bangladesh,BD,2015-01-01,2020-11-13,,1.64000046669813
Niamatpur,BD506469,,,,Naogaon,BD5064,Rajshahi,BD50,Bangladesh,BD,2015-01-01,2020-11-13,,446.211262116812
Nikli,BD304876,,,,Kishoreganj,BD3048,Dhaka,BD30,Bangladesh,BD,2015-01-01,2020-11-13,,186.027530128827
Nilphamari Sadar,BD557364,,,,Nilphamari,BD5573,Rangpur,BD55,Bangladesh,BD,2015-01-01,2020-11-13,,375.631471378667
Noakhali Sadar (Sudharam),BD207587,,,,Noakhali,BD2075,Chittagong,BD20,Bangladesh,BD,2015-01-01,2020-11-13,,372.321429959371
