country_code,location,data_id,indicator_name,value,precision,DHS_CountryCode,CountryName,survey_year,survey_id,indicator_id,indicator_order,indicator_type,characteristic_id,characteristic_order,characteristic_category,characteristic_label,by_variable_id,by_variable_label,is_total,is_preferred,sdr_id,region_id,survey_year_label,survey_type,denominator_weighted,denominator_unweighted,ci_low,ci_high,level_rank,observation_domain,gender,admin_pcode
BGD,Barishal,2821974,Antenatal care provider: Other health worker,6.9,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_OHW,83363050,I,360001,1360010,Region,Barishal,14000,Three years preceding the survey,N,N,RHANCPWOHW,BDDHS1994360001,1993-94,DHS,228.0,371.0,,,1.0,Access-To-Health-Care (1),Total,UNMAPPED
BGD,Barishal,1317266,Antenatal care provider: Other health worker,7.2,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_OHW,83363050,I,360001,1360010,Region,Barishal,14002,Two years preceding the survey,N,Y,RHANCPWOHW,BDDHS1994360001,1993-94,DHS,166.0,270.0,,,1.0,Access-To-Health-Care (1),Total,UNMAPPED
BGD,Chattogram/Sylhet,5937395,Antenatal care provider: Other health worker,6.3,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_OHW,83363050,I,360002,1360020,Region,Chattogram/Sylhet,14000,Three years preceding the survey,N,N,RHANCPWOHW,BDDHS1994360002,1993-94,DHS,1100.0,868.0,,,1.0,Access-To-Health-Care (1),Total,UNMAPPED
BGD,Chattogram/Sylhet,4843004,Antenatal care provider: Other health worker,6.5,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_OHW,83363050,I,360002,1360020,Region,Chattogram/Sylhet,14002,Two years preceding the survey,N,Y,RHANCPWOHW,BDDHS1994360002,1993-94,DHS,784.0,621.0,,,1.0,Access-To-Health-Care (1),Total,UNMAPPED
BGD,Chattogram,7015020,Antenatal care provider: Other health worker,6.3,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_OHW,83363050,I,360003,1360030,Region,..Chattogram,14000,Three years preceding the survey,N,N,RHANCPWOHW,BDDHS1994360003,1993-94,DHS,1100.0,868.0,,,,Access-To-Health-Care (1),Total,UNMAPPED
BGD,Chattogram,1302951,Antenatal care provider: Other health worker,6.5,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_OHW,83363050,I,360003,1360030,Region,..Chattogram,14002,Two years preceding the survey,N,Y,RHANCPWOHW,BDDHS1994360003,1993-94,DHS,784.0,621.0,,,,Access-To-Health-Care (1),Total,UNMAPPED
BGD,Dhaka before 2015,5106280,Antenatal care provider: Other health worker,7.5,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_OHW,83363050,I,360005,1360050,Region,Dhaka before 2015,14000,Three years preceding the survey,N,N,RHANCPWOHW,BDDHS1994360005,1993-94,DHS,1107.0,1034.0,,,1.0,Access-To-Health-Care (1),Total,UNMAPPED
BGD,Dhaka before 2015,2815569,Antenatal care provider: Other health worker,8.2,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_OHW,83363050,I,360005,1360050,Region,Dhaka before 2015,14002,Two years preceding the survey,N,Y,RHANCPWOHW,BDDHS1994360005,1993-94,DHS,774.0,724.0,,,1.0,Access-To-Health-Care (1),Total,UNMAPPED
BGD,Khulna,7793415,Antenatal care provider: Other health worker,6.1,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_OHW,83363050,I,360006,1360060,Region,Khulna,14000,Three years preceding the survey,N,N,RHANCPWOHW,BDDHS1994360006,1993-94,DHS,397.0,404.0,,,1.0,Access-To-Health-Care (1),Total,UNMAPPED
BGD,Khulna,5928988,Antenatal care provider: Other health worker,7.4,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_OHW,83363050,I,360006,1360060,Region,Khulna,14002,Two years preceding the survey,N,Y,RHANCPWOHW,BDDHS1994360006,1993-94,DHS,260.0,265.0,,,1.0,Access-To-Health-Care (1),Total,UNMAPPED
BGD,Rajshahi/Rangpur,6202348,Antenatal care provider: Other health worker,5.4,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_OHW,83363050,I,360007,1360070,Region,Rajshahi/Rangpur,14000,Three years preceding the survey,N,N,RHANCPWOHW,BDDHS1994360007,1993-94,DHS,794.0,892.0,,,1.0,Access-To-Health-Care (1),Total,UNMAPPED
BGD,Rajshahi/Rangpur,5346388,Antenatal care provider: Other health worker,5.9,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_OHW,83363050,I,360007,1360070,Region,Rajshahi/Rangpur,14002,Two years preceding the survey,N,Y,RHANCPWOHW,BDDHS1994360007,1993-94,DHS,514.0,577.0,,,1.0,Access-To-Health-Care (1),Total,UNMAPPED
BGD,Barishal,2821975,Antenatal care provider: Traditional birth attendant,0.0,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_TBA,83363070,I,360001,1360010,Region,Barishal,14000,Three years preceding the survey,N,N,RHANCPWTBA,BDDHS1994360001,1993-94,DHS,228.0,371.0,,,1.0,Access-To-Health-Care (1),Total,UNMAPPED
BGD,Barishal,1317267,Antenatal care provider: Traditional birth attendant,0.0,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_TBA,83363070,I,360001,1360010,Region,Barishal,14002,Two years preceding the survey,N,Y,RHANCPWTBA,BDDHS1994360001,1993-94,DHS,166.0,270.0,,,1.0,Access-To-Health-Care (1),Total,UNMAPPED
BGD,Chattogram/Sylhet,5937426,Antenatal care provider: Traditional birth attendant,0.2,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_TBA,83363070,I,360002,1360020,Region,Chattogram/Sylhet,14000,Three years preceding the survey,N,N,RHANCPWTBA,BDDHS1994360002,1993-94,DHS,1100.0,868.0,,,1.0,Access-To-Health-Care (1),Total,UNMAPPED
BGD,Chattogram/Sylhet,4843005,Antenatal care provider: Traditional birth attendant,0.3,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_TBA,83363070,I,360002,1360020,Region,Chattogram/Sylhet,14002,Two years preceding the survey,N,Y,RHANCPWTBA,BDDHS1994360002,1993-94,DHS,784.0,621.0,,,1.0,Access-To-Health-Care (1),Total,UNMAPPED
BGD,Chattogram,7015026,Antenatal care provider: Traditional birth attendant,0.2,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_TBA,83363070,I,360003,1360030,Region,..Chattogram,14000,Three years preceding the survey,N,N,RHANCPWTBA,BDDHS1994360003,1993-94,DHS,1100.0,868.0,,,,Access-To-Health-Care (1),Total,UNMAPPED
BGD,Chattogram,1302952,Antenatal care provider: Traditional birth attendant,0.3,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_TBA,83363070,I,360003,1360030,Region,..Chattogram,14002,Two years preceding the survey,N,Y,RHANCPWTBA,BDDHS1994360003,1993-94,DHS,784.0,621.0,,,,Access-To-Health-Care (1),Total,UNMAPPED
BGD,Dhaka before 2015,5106281,Antenatal care provider: Traditional birth attendant,0.4,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_TBA,83363070,I,360005,1360050,Region,Dhaka before 2015,14000,Three years preceding the survey,N,N,RHANCPWTBA,BDDHS1994360005,1993-94,DHS,1107.0,1034.0,,,1.0,Access-To-Health-Care (1),Total,UNMAPPED
BGD,Dhaka before 2015,2815570,Antenatal care provider: Traditional birth attendant,0.4,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_TBA,83363070,I,360005,1360050,Region,Dhaka before 2015,14002,Two years preceding the survey,N,Y,RHANCPWTBA,BDDHS1994360005,1993-94,DHS,774.0,724.0,,,1.0,Access-To-Health-Care (1),Total,UNMAPPED
BGD,Khulna,7793416,Antenatal care provider: Traditional birth attendant,0.3,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_TBA,83363070,I,360006,1360060,Region,Khulna,14000,Three years preceding the survey,N,N,RHANCPWTBA,BDDHS1994360006,1993-94,DHS,397.0,404.0,,,1.0,Access-To-Health-Care (1),Total,UNMAPPED
BGD,Khulna,5928989,Antenatal care provider: Traditional birth attendant,0.4,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_TBA,83363070,I,360006,1360060,Region,Khulna,14002,Two years preceding the survey,N,Y,RHANCPWTBA,BDDHS1994360006,1993-94,DHS,260.0,265.0,,,1.0,Access-To-Health-Care (1),Total,UNMAPPED
BGD,Rajshahi/Rangpur,6202349,Antenatal care provider: Traditional birth attendant,0.2,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_TBA,83363070,I,360007,1360070,Region,Rajshahi/Rangpur,14000,Three years preceding the survey,N,N,RHANCPWTBA,BDDHS1994360007,1993-94,DHS,794.0,892.0,,,1.0,Access-To-Health-Care (1),Total,UNMAPPED
BGD,Rajshahi/Rangpur,5346394,Antenatal care provider: Traditional birth attendant,0.1,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_TBA,83363070,I,360007,1360070,Region,Rajshahi/Rangpur,14002,Two years preceding the survey,N,Y,RHANCPWTBA,BDDHS1994360007,1993-94,DHS,514.0,577.0,,,1.0,Access-To-Health-Care (1),Total,UNMAPPED
BGD,Barishal,2821969,Antenatal care provider: Other,1.4,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_OTH,83363080,I,360001,1360010,Region,Barishal,14000,Three years preceding the survey,N,N,RHANCPWOTH,BDDHS1994360001,1993-94,DHS,228.0,371.0,,,1.0,Access-To-Health-Care (1),Total,UNMAPPED
BGD,Barishal,1317271,Antenatal care provider: Other,1.6,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_OTH,83363080,I,360001,1360010,Region,Barishal,14002,Two years preceding the survey,N,Y,RHANCPWOTH,BDDHS1994360001,1993-94,DHS,166.0,270.0,,,1.0,Access-To-Health-Care (1),Total,UNMAPPED
BGD,Chattogram/Sylhet,5937389,Antenatal care provider: Other,0.6,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_OTH,83363080,I,360002,1360020,Region,Chattogram/Sylhet,14000,Three years preceding the survey,N,N,RHANCPWOTH,BDDHS1994360002,1993-94,DHS,1100.0,868.0,,,1.0,Access-To-Health-Care (1),Total,UNMAPPED
BGD,Chattogram/Sylhet,4843007,Antenatal care provider: Other,0.7,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_OTH,83363080,I,360002,1360020,Region,Chattogram/Sylhet,14002,Two years preceding the survey,N,Y,RHANCPWOTH,BDDHS1994360002,1993-94,DHS,784.0,621.0,,,1.0,Access-To-Health-Care (1),Total,UNMAPPED
BGD,Chattogram,7015018,Antenatal care provider: Other,0.6,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_OTH,83363080,I,360003,1360030,Region,..Chattogram,14000,Three years preceding the survey,N,N,RHANCPWOTH,BDDHS1994360003,1993-94,DHS,1100.0,868.0,,,,Access-To-Health-Care (1),Total,UNMAPPED
BGD,Chattogram,1302973,Antenatal care provider: Other,0.7,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_OTH,83363080,I,360003,1360030,Region,..Chattogram,14002,Two years preceding the survey,N,Y,RHANCPWOTH,BDDHS1994360003,1993-94,DHS,784.0,621.0,,,,Access-To-Health-Care (1),Total,UNMAPPED
BGD,Dhaka before 2015,5106270,Antenatal care provider: Other,1.5,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_OTH,83363080,I,360005,1360050,Region,Dhaka before 2015,14000,Three years preceding the survey,N,N,RHANCPWOTH,BDDHS1994360005,1993-94,DHS,1107.0,1034.0,,,1.0,Access-To-Health-Care (1),Total,UNMAPPED
BGD,Dhaka before 2015,2815572,Antenatal care provider: Other,1.7,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_OTH,83363080,I,360005,1360050,Region,Dhaka before 2015,14002,Two years preceding the survey,N,Y,RHANCPWOTH,BDDHS1994360005,1993-94,DHS,774.0,724.0,,,1.0,Access-To-Health-Care (1),Total,UNMAPPED
BGD,Khulna,7793411,Antenatal care provider: Other,1.6,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_OTH,83363080,I,360006,1360060,Region,Khulna,14000,Three years preceding the survey,N,N,RHANCPWOTH,BDDHS1994360006,1993-94,DHS,397.0,404.0,,,1.0,Access-To-Health-Care (1),Total,UNMAPPED
BGD,Khulna,5928991,Antenatal care provider: Other,1.0,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_OTH,83363080,I,360006,1360060,Region,Khulna,14002,Two years preceding the survey,N,Y,RHANCPWOTH,BDDHS1994360006,1993-94,DHS,260.0,265.0,,,1.0,Access-To-Health-Care (1),Total,UNMAPPED
BGD,Rajshahi/Rangpur,6202364,Antenatal care provider: Other,1.7,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_OTH,83363080,I,360007,1360070,Region,Rajshahi/Rangpur,14000,Three years preceding the survey,N,N,RHANCPWOTH,BDDHS1994360007,1993-94,DHS,794.0,892.0,,,1.0,Access-To-Health-Care (1),Total,UNMAPPED
BGD,Rajshahi/Rangpur,5346397,Antenatal care provider: Other,1.7,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_OTH,83363080,I,360007,1360070,Region,Rajshahi/Rangpur,14002,Two years preceding the survey,N,Y,RHANCPWOTH,BDDHS1994360007,1993-94,DHS,514.0,577.0,,,1.0,Access-To-Health-Care (1),Total,UNMAPPED
BGD,Barishal,2821970,No antenatal care,72.9,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_NON,83363100,I,360001,1360010,Region,Barishal,14000,Three years preceding the survey,N,N,RHANCPWNON,BDDHS1994360001,1993-94,DHS,228.0,371.0,,,1.0,Access-To-Health-Care (1),Total,UNMAPPED
BGD,Barishal,1317272,No antenatal care,71.0,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_NON,83363100,I,360001,1360010,Region,Barishal,14002,Two years preceding the survey,N,Y,RHANCPWNON,BDDHS1994360001,1993-94,DHS,166.0,270.0,,,1.0,Access-To-Health-Care (1),Total,UNMAPPED
BGD,Chattogram/Sylhet,5937394,No antenatal care,74.7,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_NON,83363100,I,360002,1360020,Region,Chattogram/Sylhet,14000,Three years preceding the survey,N,N,RHANCPWNON,BDDHS1994360002,1993-94,DHS,1100.0,868.0,,,1.0,Access-To-Health-Care (1),Total,UNMAPPED
BGD,Chattogram/Sylhet,4843008,No antenatal care,73.7,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_NON,83363100,I,360002,1360020,Region,Chattogram/Sylhet,14002,Two years preceding the survey,N,Y,RHANCPWNON,BDDHS1994360002,1993-94,DHS,784.0,621.0,,,1.0,Access-To-Health-Care (1),Total,UNMAPPED
BGD,Chattogram,7015019,No antenatal care,74.7,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_NON,83363100,I,360003,1360030,Region,..Chattogram,14000,Three years preceding the survey,N,N,RHANCPWNON,BDDHS1994360003,1993-94,DHS,1100.0,868.0,,,,Access-To-Health-Care (1),Total,UNMAPPED
BGD,Chattogram,1302974,No antenatal care,73.7,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_NON,83363100,I,360003,1360030,Region,..Chattogram,14002,Two years preceding the survey,N,Y,RHANCPWNON,BDDHS1994360003,1993-94,DHS,784.0,621.0,,,,Access-To-Health-Care (1),Total,UNMAPPED
BGD,Dhaka before 2015,5106271,No antenatal care,64.8,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_NON,83363100,I,360005,1360050,Region,Dhaka before 2015,14000,Three years preceding the survey,N,N,RHANCPWNON,BDDHS1994360005,1993-94,DHS,1107.0,1034.0,,,1.0,Access-To-Health-Care (1),Total,UNMAPPED
BGD,Dhaka before 2015,2815573,No antenatal care,63.4,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_NON,83363100,I,360005,1360050,Region,Dhaka before 2015,14002,Two years preceding the survey,N,Y,RHANCPWNON,BDDHS1994360005,1993-94,DHS,774.0,724.0,,,1.0,Access-To-Health-Care (1),Total,UNMAPPED
BGD,Khulna,7793412,No antenatal care,71.8,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_NON,83363100,I,360006,1360060,Region,Khulna,14000,Three years preceding the survey,N,N,RHANCPWNON,BDDHS1994360006,1993-94,DHS,397.0,404.0,,,1.0,Access-To-Health-Care (1),Total,UNMAPPED
BGD,Khulna,5928993,No antenatal care,68.4,1,BD,Bangladesh,1994,BD1994DHS,RH_ANCP_W_NON,83363100,I,360006,1360060,Region,Khulna,14002,Two years preceding the survey,N,Y,RHANCPWNON,BDDHS1994360006,1993-94,DHS,260.0,265.0,,,1.0,Access-To-Health-Care (1),Total,UNMAPPED
