0,1,2,3,4,5,6,7,8
Gender Budget (in crore),"19841.
8","17273.
5",14943,14627,13881,12061,10393,10938
"Percentage  change 
from  base 
year",81.40,57.90,36.60,33.70,26.90,10.30,-5.00,0.00
