0,1,2
"Illustrative outcomes of projects 
and related possible gender 
equality outcomes","Examples of questions to consider 
in analyses to formulate project 
strategies and gender-related  
design features","Examples of possible gender-related 
design features, measures, and activities 
that might be relevant (or adaptable)"
Creating enabling policy environment,,
"Policy and institutional 
framework creates a favorable 
environment for state and non-
state stakeholders to address 
gender equity in skills, vocational, 
and tertiary education.","• 	What	are	the	policy	gaps	in	relation	
to women’s needs and interests?
• 	How	to	make	policy	more	
transformative for women? 
• 	Are	there	policy	provisions	
regarding gender mainstreaming in 
education and skills that can be used 
to justify action proposed?","• 	National	dialogue	for	aligning	
internationally acknowledged gender 
dimensions with national policies and 
strategies needed
• 	Identification	of	present	policy	provisions	
that promote greater involvement of 
women and girls in skills, vocational, and 
tertiary education
• 	Developing	policy	monitoring	and	
accountability mechanisms that would 
include women and girls as stakeholders"
"Existing policies and provisions 
for women’s entrepreneurship 
should be aligned with education 
and skills development policies 
so that the area of skills for 
entrepreneurship is supported.","• 	What	are	the	areas	of	skill	gaps	for	
women’s entrepreneurship in both 
urban and rural areas?
• 	What	are	the	skill	gaps	for	different	
age groups and sectors?
• 	Where	and	how	are	skills	training	
provided? Is it appropriate for 
women entrepreneurs?","• 	Market	research	on	demand	for	
training by women entrepreneurs and 
identification of areas of unserved needs
• 	Scoping	of	training	available	for	women	
entrepreneurs and identification of gaps
• 	Identification	of	private	sector,	
nongovernment organization, and 
government providers of training and on-
the-job support for women entrepreneurs"
Increasing responsiveness to markets,,
"Secondary, tertiary, and vocational 
education are more responsive 
to market needs and gender 
considerations.","• 	Where	are	women	situated	in	the	
labor market currently?
• 	Where	are	potential	areas	for	
women to enter?
• 	Are	there	good	examples	of	
nontraditional and potential 
occupations for women that can be 
adopted from the region?
• 	What	are	the	constraints	for	women	
to enter and stay in better-paid and 
more productive occupations?","• 	Developing	partnerships	with	employers’	
associations and trade unions 
• 	Carrying	out	market	surveys	of	demand	
for labor
• 	Media	campaigns	to	challenge	stereotypes	
on occupational segregation
• 	Skills	development	to	be	supplemented	by	
job placements and job counseling"
