0,1,2,3,4,5,6,7,8,9,10,11,12
Oﬃcial,90,90,92,93,93,94,90,90,93,93,93,NA
Administrative,96,110,108,109,120,118,116,114,118,110,118,120
Survey,97,*,NA,97,*,96,99,99,NA,NA,NA,NA
