0,1,2
"Illustrative outcomes of projects 
and related possible gender equality 
outcomesa","Examples of questions to consider 
in analyses to formulate project 
strategies and gender-related  
design features","Examples of possible gender-related 
design features, measures, and 
activities that might be relevant  
(or adaptable)"
,"• 	What	are	the	specific	constraints	
faced by women in slum areas in 
finding and keeping adequate jobs 
and incomes? Are these related to 
the context (e.g., transport options, 
time demands of inadequate 
services, limited employment on 
offer)? What are the constraints 
related to capacities (e.g., literacy, 
vocational, or management  
skills, etc.)?
• 	If	involvement	of	self-help	groups	is	
envisaged, what are their strengths 
and weaknesses? What are their 
livelihood activities? What is the 
potential to form viable affinity-
based groups?","• 	Partner	with	nongovernment	
organizations to develop programs 
for skills training, entrepreneurship 
training, and support.
• 	If	self-help	groups	are	part	of	the	
project livelihoods strategy, ensure 
that the project allocates the support 
necessary to form and/or sustain 
viable groups.
• 	Increase	linkages	of	women	and	
women’s self-help groups to 
government programs supporting 
livelihoods (skill training, 
entrepreneurship support)."
"Employment arising from project 
construction work
• 	Equitable	access	to	temporary	
project jobs
• 	Better	recognition	of	women’s	
rights to equal pay and appropriate 
working conditions","• 	Are	women	active	in	the	
construction sector in the project 
area? How do skill and pay levels 
compare with men’s?
• 	Are	workers	and	employers	and/
or contractors aware of core labor 
standards and workers’ rights, 
including women’s rights to 
nondiscrimination and equal pay?","• 	Set	targets	for	women’s	participation	
at different skill levels that are 
meaningful and achievable (given 
labor supply, local conditions, etc.).
• 	Brief	contractors	on	their	
responsibilities for equitable pay and 
working conditions."
Governance and management,,
"Effective citizen participation in  
urban planning process, slum 
redevelopment planning, and other 
community committees
• 	Increased	opportunities	for	
women to voice their interests and 
participate in decision-making
• 	Increased	capacity	of	men	in	the	
community to work productively 
with women
• 	Support	to	minority	communities	
and those with special needs","• 	What	are	the	gender	dynamics	of	
participation in this locality? For 
example, are women equitably 
represented, do they have the 
opportunity or the confidence to 
voice their views, do men listen, 
and do women’s views influence 
discussions and decisions?
• 	Do	men	accept	women’s	
participation in these committees 
and support decisions that provide 
benefits to women?","• 	Work	with	municipal	authorities	
to ensure that citizen participation 
plans respond to the identified 
constraints on women’s participation 
(e.g., times and locations that 
allow women to attend, focus 
groups with women if there are 
difficulties in participating in mixed 
groups, supporting men to work 
constructively with women)."
"Strengthened governance capacity and 
practices of urban local bodies (elected 
members and staff )
• 	Elected	representatives	and	staff	
better informed about the needs of 
women in the areas they serve
• 	More	informed	and	skilled	women	
councilors and ward members
• 	Employment	of	female	in	the	lower	
grade jobs, e.g., cleaners.","• 	How	do	male	councilors	and	ward	
members see their responsibilities to 
women citizens, as users of services 
and as citizens?
• 	Do	poor	women	have	access	
to committee members and/or 
councilors?
• 	Are	elected	women	participating	in	
and chairing key ward and council 
committees? If not, why not?","• 	Partner	with	women’s	advocacy	
organizations to provide training to 
elected officials (both women and 
men) about women’s issues in  
the municipality.
• 	Facilitate	linkages	with	government	
programs to train women councilors.
• 	Facilitate	linkages	and	networking	
with elected women in other 
municipalities to exchange 
experience and strategies."
