0,1,2,3,4,5,6,7,8
"Total Factor 
Supply",,Change From Base (%),,,,,,
,base,GB17-18,GB18-19,GB19-20,GB20-21,GB21-22,GB22-23,GB23-24
Labor - National,5.37,-0.10,0.24,0.70,0.92,5.68,6.54,3.01
"Not 
finished 
primary",2.63,-0.07,0.18,0.56,0.75,7.74,8.56,2.76
Finished primary,1.00,-0.35,0.80,2.27,2.96,10.15,12.62,8.93
Finished secondary,1.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Finished tertiary,0.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Labor - Rural,3.20,-0.08,0.18,0.57,0.78,5.28,6.03,2.64
"Not 
finished 
primary",1.84,-0.03,0.09,0.34,0.49,6.13,6.71,1.99
Finished primary,0.62,-0.30,0.68,1.95,2.57,9.15,11.29,7.79
Finished secondary,0.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Finished tertiary,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Labor - Urban,2.17,-0.14,0.31,0.89,1.13,6.27,7.30,3.56
"Not 
finished 
primary",0.80,-0.16,0.37,1.08,1.35,11.46,12.82,4.55
Finished primary,0.38,-0.45,0.99,2.80,3.60,11.76,14.77,10.78
Finished secondary,0.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Finished tertiary,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00
