0,1,2,3,4,5,6,7,8,9,10,11,12
Oﬃcial,99,99,91,93,93,94,98,98,100,100,100,NA
Administrative,99,112,110,110,121,119,118,117,120,113,121,122
Survey,99,*,NA,99,*,98,100,100,NA,NA,NA,NA
