0,1,2,3,4,5,6,7,8
Description,"2023-
24","2022-
23","2021-
22","2020-
21","2019-
20","2018-
19","2017-
18","2016-
17"
Budget (in crore),"19874.
9","15738.
6",16124,12383,10827,9018,7234,8625
"Percentage change from base 
year",130.43,82.48,86.94,43.57,25.53,4.56,-16.13,0.00
