0,1,2,3,4,5,6,7,8,9,10,11,12
Oﬃcial,95,95,92,93,93,94,90,90,93,93,93,NA
Administrative,96,110,108,109,120,117,117,116,118,110,118,121
Survey,97,*,NA,97,*,94,99,99,NA,NA,NA,NA
