0,1
Action Areas,Responsibility
"U.  Increase number of women as teachers and managers in 
tertiary education through institutional measures such as  
clear institutional policies and grievance mechanisms, as  
well as social infrastructure and strong advocacy in favor of 
gender equality.","MOE, UGC"
"V.  Review policies on recruitment and selection of senior leaders  
and managers for more transparency and accountability. 
Investment in women’s capacity building is essential in all 
countries. This includes research-informed, women-only 
leadership development programs; access to doctoral degrees; 
and training and continuous professional development 
opportunities, mentorship programs, and networks.","MOE, UGC, National University"
