0,1,2,3,4,5,6
"Table 21: Number of Teachers and Students in Bangladesh 
University of Engineering and Technology by Sex",,,,,,
Year,Teachers,,,Students,,
,Women,Men,"Ratio of 
Women 
to Men",Girls,Boys,"Ratio of 
Girls to 
Boys"
2000,57,443,12.9,945,"6,270",15.1
2002,65,414,15.7,"1,137","6,456",17.6
2009,100,478,20.9,"1,455","6,088",23.9
2010,128,521,24.6,"1,468","6,199",23.7
2011,0,649,0.0,"Data not 
available","Data not 
available","Data not 
available"
2012,124,495,20.0,"Data not 
available","Data not 
available","Data not 
available"
2013,124,495,20.0,"Data not 
available","Data not 
available","Data not 
available"
"Source: Bangladesh Bureau of Educational Information and Statistics. 2014. 
Bangladesh Education Statistics. Government of Bangladesh. Dhaka.",,,,,,
