0,1,2,3,4,5,6,7,8,9,10,11,12
Oﬃcial,NA,22,NA,70,70,80,83,83,89,89,89,NA
Administrative,NA,22,99,104,115,115,114,113,115,107,115,116
Survey,NA,NA,NA,NA,86,83,NA,93,NA,NA,NA,NA
