0,1,2,3,4,5,6,7,8,9,10,11,12
Oﬃcial,86,89,89,90,90,92,92,92,93,93,93,NA
Administrative,96,111,108,109,120,118,116,115,117,108,118,120
Survey,93,*,NA,94,*,91,97,96,NA,NA,NA,NA
