0,1,2,3,4,5,6,7,8,9,10,11,12
Oﬃcial,NA,NA,NA,NA,73,NA,NA,NA,48,48,48,NA
Administrative,NA,NA,NA,NA,73,33,39,91,111,108,118,119
Survey,NA,NA,NA,NA,65,37,NA,76,NA,NA,NA,NA
