0,1,2
"Sector 
Components","Activities, Indicators,  
and Targets",Cumulative Progress
,"• 	Train	500	shop	owners	
on business skills, shop 
management, market 
management committee 
function, and link them 
with traders’ association",
,"• 	Earmark	and	allocate	15%	
space for women vendors 
in open sheds to be 
developed in 92 growth 
center markets",
,"• 	Orient	market	
management committee 
and traders to support 
female shop owners and 
women vendors and to 
include them as members 
of traders’ associations",
,"• 	Provide	support	
including separate toilets 
and safe water supply for 
women in the markets",
,"• 	Provide	solar	energy	and	
piped water supply in 
pilot markets",
,"• 	Provide	need-based	
training to 100 female  
shop owners",
"Source: SRIIP Gender Action Plan, Sustainable Rural Infrastructure 
Improvement Project (RRP BAN 40515).",,
