ADM1_EN,ADM1_PCODE,ADM1_REF,ADM1ALT1_EN,ADM1ALT2_EN,ADM0_EN,ADM0_PCODE,DATE,VALIDON,VALIDTO,AREA_SQKM
Barisal,BD10,,,,Bangladesh,BD,2015-01-01,2020-11-13,,10139.78125
Chittagong,BD20,,,,Bangladesh,BD,2015-01-01,2020-11-13,,31146.865234375
Dhaka,BD30,,,,Bangladesh,BD,2015-01-01,2020-11-13,,20383.126953125
Khulna,BD40,,,,Bangladesh,BD,2015-01-01,2020-11-13,,20749.630859375
Mymensingh,BD45,,,,Bangladesh,BD,2015-01-01,2020-11-13,,10544.5576171875
Rajshahi,BD50,,,,Bangladesh,BD,2015-01-01,2020-11-13,,18228.708984375
Rangpur,BD55,,,,Bangladesh,BD,2015-01-01,2020-11-13,,16286.59765625
Sylhet,BD60,,,,Bangladesh,BD,2015-01-01,2020-11-13,,12372.751953125
