ADM4_EN,ADM4_PCODE,ADM4_REF,ADM4ALT1_EN,ADM4ALT2_EN,ADM3_EN,ADM3_PCODE,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,DATE,VALIDON,VALIDTO,AREA_SQKM
Agra Digun,BD50642810,,,,Dhamoirhat,BD506428,Naogaon,BD5064,Rajshahi,BD50,Bangladesh,BD,2015-01-01,2020-11-13,,38.1136842675259
Ahammedpur,BD50768317,,,,Sujanagar,BD507683,Pabna,BD5076,Rajshahi,BD50,Bangladesh,BD,2015-01-01,2020-11-13,,33.2035829588523
Ahla Karaldanga,BD20151217,,,,Boalkhali,BD201512,Chittagong,BD2015,Chittagong,BD20,Bangladesh,BD,2015-01-01,2020-11-13,,37.4672208511969
Ahmadabad,BD60362613,,,,Chunarughat,BD603626,Habiganj,BD6036,Sylhet,BD60,Bangladesh,BD,2015-01-01,2020-11-13,,47.3662082786656
Ahmmedabad,BD50385838,,,,Kalai,BD503858,Joypurhat,BD5038,Rajshahi,BD50,Bangladesh,BD,2015-01-01,2020-11-13,,17.003700609366
Ahsanganj,BD50640310,,,,Atrai,BD506403,Naogaon,BD5064,Rajshahi,BD50,Bangladesh,BD,2015-01-01,2020-11-13,,27.1650305503634
Aiba Chhara,BD20842115,,,,Barkal,BD208421,Rangamati,BD2084,Chittagong,BD20,Bangladesh,BD,2015-01-01,2020-11-13,,115.048888564261
Aihai,BD50648617,,,,Sapahar,BD506486,Naogaon,BD5064,Rajshahi,BD50,Bangladesh,BD,2015-01-01,2020-11-13,,36.6814199736901
Aijganti,BD40477513,,,,Rupsa,BD404775,Khulna,BD4047,Khulna,BD40,Bangladesh,BD,2015-01-01,2020-11-13,,9.430046422881489
Ailchara,BD40507917,,,,Kushtia Sadar,BD405079,Kushtia,BD4050,Khulna,BD40,Bangladesh,BD,2015-01-01,2020-11-13,,20.435726547362
Ajgana,BD30936613,,,,Mirzapur,BD309366,Tangail,BD3093,Dhaka,BD30,Bangladesh,BD,2015-01-01,2020-11-13,,43.1476525130288
Ajgara,BD20197284,,,,Laksam,BD201972,Comilla,BD2019,Chittagong,BD20,Bangladesh,BD,2015-01-01,2020-11-13,,14.6463811373341
Ajmiriganj,BD60360213,,,,Ajmiriganj,BD603602,Habiganj,BD6036,Sylhet,BD60,Bangladesh,BD,2015-01-01,2020-11-13,,7.71125767570453
Ajmiriganj Paurashava,BD60360299,,,,Ajmiriganj,BD603602,Habiganj,BD6036,Sylhet,BD60,Bangladesh,BD,2015-01-01,2020-11-13,,12.2570571297574
Ajugara,BD40479413,,,,Terokhada,BD404794,Khulna,BD4047,Khulna,BD40,Bangladesh,BD,2015-01-01,2020-11-13,,13.5372042921603
