Gross Domestic Product (Taka in Millions),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
Base Year: 2015-16,,,,,,,,,,
,,,,,,,,,,
Tax less subsidy,883937.0,1025143.0,1226445.0,1275855.0,1134217.0,1323656.0,1518878.0,1477544.0,1661565.346,1331110.2999999998
GDP at current market prices,20758212.0,23243073.0,26392479.0,29514288.0,31704694.0,35301848.0,39717164.0,44908417.0,50026536.59348812,55150261.8701199
Gross Domestic Product at Constant Prices,,,,,,,,,,
Agriculture,2795050.0,2884380.0,2986618.0,3083999.0,3189501.0,3290754.0,3391252.0,3505586.0,3621407.2396309525,3709016.9572221907
"Agriculture, Forestry, and Fishing",2795050.0,2884380.0,2986618.0,3083999.0,3189501.0,3290754.0,3391252.0,3505586.0,3621407.2396309525,3709016.9572221907
Crops and Horticulture ,1382799.0,1413445.0,1452281.0,1482299.0,1519388.0,1554174.0,1594695.0,1644974.0,1710812.1940862634,1742209.7338454046
Animal Farmings ,466548.0,479482.0,493403.0,508246.0,524455.0,539891.0,556606.0,574255.0,591902.7352510508,610114.1909860004
Forest and Related Services ,371884.0,390487.0,410329.0,431359.0,454402.0,477043.0,501287.0,526999.0,553310.6722602333,580498.2739959243
Fishing ,573819.0,600966.0,630605.0,662095.0,691256.0,719645.0,738664.0,759358.0,765381.6380334051,776194.7583948618
Industry,6449401.0,6982905.0,7694869.0,8590037.0,8900231.0,9815808.0,10783221.0,11685491.0,12095205.495197047,12544040.30288389
Mining and Quarrying,330526.0,387669.0,424694.0,472709.0,487657.0,519315.0,513522.0,578883.0,572242.7814730365,581704.6845484588
Natural Gas and Crude Petroleum,114780.0,114391.0,114438.0,113784.0,108701.0,109050.0,103961.0,99616.0,93655.59686888127,87365.57419317652
Other Mining and Coal ,215747.0,273278.0,310256.0,358925.0,378956.0,410266.0,409561.0,479268.0,478587.18460415525,494339.1103552822
Manufacturing ,4223870.0,4523191.0,4995976.0,5612204.0,5706535.0,6367645.0,7094246.0,7725222.0,7969073.110659648,8433395.46300672
Large Industry ,2211523.0,2313882.0,2570157.0,2898847.0,2910717.0,3219668.0,3724520.0,4036747.0,4078101.0981103997,4320469.7763176
"Small, Medium, and Micro Industry",1291077.0,1421018.0,1578819.0,1746320.0,1793253.0,2042406.0,2141258.0,2337084.0,2446034.122932201,2590854.0281433417
Cottage Industry,721270.0,788292.0,847000.0,967038.0,1002566.0,1105571.0,1228469.0,1351391.0,1444937.8896170475,1522071.6585457784
"Electricity, Gas, steam and Air Conditioning Supply ",245546.0,262905.0,284658.0,308124.0,310201.0,339803.0,360702.0,369589.0,373195.5747235431,392823.7019080767
Electricity,183103.0,199177.0,219273.0,241683.0,246204.0,274875.0,296172.0,306244.0,310976.3251659834,332124.34388512943
Gas ,62442.0,63728.0,65384.0,66440.0,63997.0,64928.0,64531.0,63345.0,62219.249557559684,60699.35802294729
"Water supply, sewerage, waste management",21032.0,21796.0,22441.0,23857.0,24376.0,25996.0,28475.0,31003.0,32226.84190225933,33300.83314736485
Construction ,1628426.0,1787343.0,1967101.0,2173144.0,2371462.0,2563048.0,2786276.0,2980794.0,3148467.186438559,3102815.620273269
Services,10629825.0,11307474.0,12048523.0,12877439.0,13383891.0,14151080.0,15036464.0,15844110.0,16650464.00496914,17374307.725727584
Wholesale and Retail Trade; repair of motor vehicles ,2885100.0,3122247.0,3395047.0,3695607.0,3814389.0,4105896.0,4453170.0,4737156.0,5010358.344397226,5249320.681291788
Transportation and Storage ,1580296.0,1677100.0,1790096.0,1915556.0,1948698.0,2027395.0,2143986.0,2261637.0,2377937.611329239,2481003.4212372536
Land Transport,1369416.0,1458904.0,1562145.0,1678127.0,1707365.0,1787300.0,1896054.0,2011805.0,2118282.6085959706,2217013.101348664
Water transport,129414.0,130805.0,132834.0,134761.0,135771.0,138220.0,139913.0,136896.0,137700.97423544675,137310.17983675515
Air Transport,16667.0,18769.0,20605.0,22064.0,22350.0,21903.0,22745.0,24612.0,26126.455134526273,27870.089265404113
Warehousing and Support activities,55386.0,58906.0,64267.0,69899.0,72287.0,68681.0,73786.0,76401.0,83603.25257415455,86372.04806384846
Postal and courrier activities,9412.0,9716.0,10245.0,10704.0,10925.0,11290.0,11489.0,11923.0,12224.320789140644,12438.002722581425
Accomodation and Food Service Activites ,238860.0,251730.0,265636.0,280610.0,285346.0,298278.0,314283.0,332650.0,351277.9211929183,366666.9960012917
Information and Communication,248337.0,269075.0,287286.0,308422.0,328686.0,352057.0,368911.0,392345.0,408257.8910043013,419227.79770704504
Financial and Insurance Activities ,650716.0,685235.0,732783.0,793237.0,830679.0,879010.0,930614.0,954325.0,965847.5332958626,981695.7499309576
Monetary Intermediation (Banks),549956.0,578737.0,621621.0,675227.0,708568.0,750797.0,796552.0,816886.0,825800.8273140687,839319.1847911158
Insurance,63428.0,64738.0,66704.0,69733.0,71236.0,73530.0,75837.0,76658.0,77494.69283313466,78182.55128276044
OtherFinancial Auxillaries,37332.0,41759.0,44458.0,48277.0,50875.0,54682.0,58226.0,60782.0,62552.013148659295,64194.01385708135
Real Estate Activities ,1925094.0,1989206.0,2058413.0,2132677.0,2211091.0,2286675.0,2371343.0,2458696.0,2544765.274415475,2625616.064636459
"Professional, Scientific and Technical Activities",39060.0,40610.0,42269.0,44032.0,45521.0,47836.0,49871.0,54261.0,58406.91599111174,61970.877234284526
Administrative and Support Service Activities,142438.0,151553.0,163289.0,176631.0,187808.0,199110.0,211083.0,226936.0,247042.31876179855,270920.23033943283
Public Administration and Defense; compulsory ,667295.0,742202.0,806560.0,858900.0,906023.0,960814.0,1008023.0,1078904.0,1139141.0839260798,1204101.8250788401
Education ,544789.0,577218.0,611202.0,654343.0,689242.0,729318.0,786746.0,830214.0,884649.2391099021,926702.4637577657
Human Health and Social Work Activities,546003.0,602421.0,657834.0,738094.0,817037.0,903639.0,992886.0,1064574.0,1163254.5227139022,1239913.186793408
"Arts, entertainment and recreation ",30071.0,31568.0,33223.0,35044.0,36948.0,39077.0,41449.0,44075.0,46904.38518483786,49977.58591323089
Other Service Activities,1131766.0,1167310.0,1204885.0,1244287.0,1282423.0,1321975.0,1364098.0,1408335.0,1452620.9636464876,1497190.845805826
Total GVA at constant basic price,19874276.0,21174759.0,22730011.0,24551474.0,25473623.0,27257642.0,29210937.0,31035187.0,32367076.73979715,33627364.98583366
Tax less subsidy,883937.0,951470.0,1015729.0,1065882.0,1027026.0,1081802.0,1140559.0,1069142.0,1093101.1158255863,1000542.3774360742
GDP at constant market prices,20758212.0,22126229.0,23745740.0,25617356.0,26500649.0,28339444.0,30351496.0,32104329.0,33460177.855622735,34627907.36326973
Gross Domestic Product by Expenditure at Current Prices,,,,,,,,,,
Domestic demand (1)+(2),21374626.0,24145164.0,27810126.0,31087205.0,33045910.0,37305907.0,42427019.0,47239921.0,53399981.76919436,58769731.13993096
Consumption (1),15097392.0,16952160.0,19411358.0,21579552.0,23119823.0,26355718.0,29698750.0,33340227.0,38041589.7679244,43029239.49316265
Private,13879862.0,15552385.0,17838586.0,19738395.0,21226670.0,24278999.0,27435269.0,30796089.0,35085984.72062994,39829609.854859106
General Govternment,1217531.0,1399775.0,1572772.0,1841157.0,1893153.0,2076719.0,2263481.0,2544138.0,2955605.0472944584,3199629.6383035406
Investment (2),6277233.0,7193004.0,8398768.0,9507653.0,9926087.0,10950188.0,12728269.0,13899694.0,15358392.001269959,15740491.646768317
Private,4920555.0,5499423.0,6583344.0,7452276.0,7614069.0,8366820.0,9736710.0,10860801.0,11984605.46598507,12148725.232586179
Public,1356679.0,1693581.0,1815423.0,2055377.0,2312017.0,2583368.0,2991559.0,3038893.0,3373786.535284888,3591766.414182138
Resource balance (3)-(4),-724823.0,-1013453.0,-1891036.0,-1590389.0,-1707574.0,-2258770.0,-3183535.0,-2096614.0,-2929404.0,-3153694.386981816
Exports (3),2889793.0,2979703.0,3345191.0,3864824.0,3310854.0,3764158.0,5116455.0,5908674.0,5233370.0,6130562.951545904
Imports (4),3614616.0,3993156.0,5236227.0,5455213.0,5018428.0,6022928.0,8299990.0,8005288.0,8162774.0,9284257.33852772
Gross Domestic Exp. at m.p.,20649803.0,23131711.0,25919090.0,29496816.0,31338336.0,35047137.0,39243484.0,45143307.0,50470577.76919436,55616036.75294915
Gross Domestic Product at m.p.(5),20758212.0,23243073.0,26392479.0,29514288.0,31704694.0,35301848.0,39717164.0,44908417.0,50026536.59348812,55150261.8701199
Statistical Discrepancy (6),108409.0,111362.0,473389.0,17472.0,366358.0,254711.0,473680.0,-234890.0,-444041.17570623755,-465774.8828292489
Net factor income from abroad (7),972538.0,802498.0,1055433.0,1208947.0,1312318.0,1858118.0,1573460.0,1792385.0,2154273.0,3028091.545861701
Gross National Income at m.p. (8)=(5)+(7),21730750.0,24045571.0,27447912.0,30723235.0,33017012.0,37159966.0,41290624.0,46700802.0,52180809.59348812,58178353.4159816
Net current transfers from abroad (9),32489.0,44164.0,42125.0,46551.0,63694.0,66536.0,65048.0,87431.0,76320.0,110490.23162808036
Gross Disposible National Income (10)=(8)+(9),21763239.0,24089735.0,27490037.0,30769786.0,33080706.0,37226502.0,41355672.0,46788233.0,52257129.59348812,58288843.64760968
Gross Domestic saving (11)=(5)-(1),5660820.0,6290913.0,6981121.0,7934736.0,8584871.0,8946130.0,10018414.0,11568190.0,11984946.825563721,12121022.376957253
