0,1,2,3,4,5,6,7,8
Description,"2023-
24","2022-
23","2021-
22","2020-
21","2019-
20","2018-
19","2017-
18","2016-
17"
Budget (in crore),4279,3717.7,2594,2317,2272,1980,1718,229
"Percentage 
change 
from  base 
year",1768.6,1523.4,1032.8,911.8,892.1,764.6,650.2,0.0
