0,1,2,3,4,5,6,7,8,9,10,11,12
,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Estimate,NA,41,82,89,90,92,93,93,93,93,93,93
Estimate GoC,NA,•,•,•,•,•,•,•,•,•,•,•
