0,1,2,3,4,5,6,7,8
Economy-wide wage,Initial,Change from base (%),,,,,,
,base,GB17-18,GB18-19,GB19-20,GB20-21,GB21-22,GB22-23,GB23-24
Labor - National,1.00,-0.37,0.79,2.11,2.63,3.91,5.75,6.98
Not finished primary,1.00,-0.06,0.12,0.29,0.32,0.49,0.75,0.85
Finished primary,1.00,-0.06,0.12,0.29,0.32,0.49,0.75,0.85
Finished secondary,1.00,-0.89,1.91,5.19,6.55,10.70,15.58,17.89
Finished tertiary,1.00,-1.25,2.66,7.19,9.07,13.19,19.78,24.24
Labor - Rural,1.00,-0.30,0.63,1.69,2.09,3.06,4.52,5.53
Not finished primary,1.00,-0.06,0.12,0.29,0.32,0.49,0.75,0.85
Finished primary,1.00,-0.06,0.12,0.29,0.32,0.49,0.75,0.85
