0,1,2,3,4,5,6,7,8,9,10,11,12
Oﬃcial,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Administrative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Survey,NA,NA,NA,94,*,91,97,96,NA,NA,NA,NA
