0,1,2
SL No.,"Name, Designation and Contract",Office/Organization
01.,"Md. Mizanur Rahman 
Director General (Additional Secretary)","Bangladesh Bureau of Statistics (BBS) 
Statistics and Informatics Division 
Ministry of Planning"
02.,"Md. Rafiqul Islam 
Director (In-Charge)","National Accounting Wing 
Bangladesh Bureau of Statistics (BBS)"
03.,"Mahbubur Rahman 
Joint Director","National Accounting Wing 
Bangladesh Bureau of Statistics (BBS)"
,Foreign Trade Statistics Section,
04.,"Mohammad Shafiqul Islam 
Deputy Director","Section Head 
Foreign Trade Statistics Section 
National Accounting Wing 
Bangladesh Bureau of Statistics (BBS)"
05.,"Mr. Sabik Zahidee 
Statistical Officer","Foreign Trade Statistics Section 
National Accounting Wing  
Bangladesh Bureau of Statistics (BBS)"
06.,"Amina Islam 
Assistant Statistical Officer","Foreign Trade Statistics Section 
National Accounting Wing  
Bangladesh Bureau of Statistics (BBS)"
07.,"Halima Akter 
Statistical Assistant","Foreign Trade Statistics Section 
National Accounting Wing  
Bangladesh Bureau of Statistics (BBS)"
