0,1,2,3
Policy,Year,Main Features,"Whether Gender is Addressed  
and How"
"Parking Policy 
proposed by 
Dhaka Transport 
Coordination 
Authority",2012,"• 	The	overall	aims	are	to	outline	strategies	to	
reduce the negative effects of parking and to 
provide a guideline for handling the increasing 
demand for parking spaces.
• 	It	provides	guidelines	for	appropriate	level	
of expenditures on, and cost recovery of, the 
provision of parking facilities.
• 	It	serves	as	a	framework	with	which	parking	
infrastructure and services can be provided and 
used efficiently with support of the government 
and private sectors, and with which appropriate 
institutional arrangements can be created or 
strengthened to facilitate effective provision and 
management of facilities.","• 	Planned	parking	spaces	can	provide	
safe jobs to women as managers and 
toll collectors."
"National Integrated 
Multimodal 
Transport Policy 
(Draft)",2013,"• 	The	major	objective	is	to	make	the	transport	
system more affordable, efficient, and 
environmentally friendly through reducing 
transport cost and creating mechanisms for 
reducing accidents.
• 	The	policy	is	also	expected	to	enhance	
competitiveness and help develop service 
industries.
• 	It	focuses	on	the	development	of	roads,	rails,	
domestic river ports, seaports, as well as on 
human resource development that prioritizes rail 
and river communication.
• 	The	policy	highlights	mass	transport	system	
including the urban transport and promotes the 
increasing participation of the private sector.
• 	This	policy	has	a	dedicated	fund	named	 
“Road Fund.”
• 	Institutional	support	for	the	implementation	of	
this policy was provided by passing the “Road 
Fund Board Law 2013.”","• 	The	policy	can	play	a	crucial	role	in	
transportation project planning and 
implementation."
"a   Institute for Transportation & Development Policy (ITDP). https://www.itdp.org/library/standards-and-guides/the-bus-rapid-transit-
standard/what-is-brt/
Source: Compiled from corresponding policy documents.",,,
