0,1,2,3,4,5,6,7,8,9,10,11,12
Oﬃcial,99,99,99,99,99,99,99,99,100,100,100,NA
Administrative,95,108,106,105,117,114,115,114,115,110,117,118
Survey,99,*,NA,99,*,98,100,100,NA,NA,NA,NA
