0,1,2,3,4,5,6,7,8
Economy-wide wage,Initial,Change from base (%),,,,,,
,base,GB17-18,GB18-19,GB19-20,GB20-21,GB21-22,GB22-23,GB23-24
Labor - National,1.00,-1.17,0.34,2.00,3.47,8.28,7.92,11.82
Not finished primary,1.00,-0.19,0.05,0.28,0.42,0.98,0.99,1.31
Finished primary,1.00,-0.19,0.05,0.28,0.42,0.98,0.99,1.31
Finished secondary,1.00,-2.78,0.83,4.91,8.70,22.76,21.67,31.75
Finished tertiary,1.00,-3.92,1.16,6.81,11.99,29.39,27.92,42.28
Labor - Rural,1.00,-0.94,0.28,1.60,2.76,6.52,6.24,9.33
Not finished primary,1.00,-0.19,0.05,0.28,0.42,0.98,0.99,1.31
Finished primary,1.00,-0.19,0.05,0.28,0.42,0.98,0.99,1.31
Finished secondary,1.00,-3.19,0.95,5.61,9.97,25.19,23.91,35.74
Finished tertiary,1.00,-3.80,1.13,6.60,11.66,28.75,27.29,41.04
Labor - Urban,1.00,-1.51,0.45,2.60,4.51,10.84,10.37,15.45
Not finished primary,1.00,-0.19,0.05,0.28,0.42,0.98,0.99,1.31
Finished primary,1.00,-0.19,0.05,0.28,0.42,0.98,0.99,1.31
Finished secondary,1.00,-2.44,0.73,4.33,7.66,20.77,19.83,28.47
Finished tertiary,1.00,-4.00,1.19,6.94,12.21,29.81,28.33,43.09
Crop land,1.00,1.56,-0.44,-2.43,-3.55,-8.52,-8.77,-12.63
Capital - Total,1.00,0.08,-0.02,-0.12,-0.29,2.42,2.52,-0.48
"Crops, forestry, fisheries",1.00,1.54,-0.44,-2.37,-3.43,-8.00,-8.26,-11.99
Livestock,1.00,2.36,-0.67,-3.72,-6.17,-10.54,-10.11,-18.60
Mining,1.00,0.41,-0.12,-0.72,-1.58,-1.01,-0.48,-4.36
Other non-agriculture,1.00,0.00,0.00,-0.01,-0.09,2.88,2.96,0.12
