0,1,2,3,4,5,6,7,8
Year,"2016-
17",2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24
"Gender budget (in 
crore)",303,309,434,614,586,274.9,878.2,956.8
"Percentage change 
from base year",0,1.98,43.23,102.64,93.40,-9.27,189.83,215.78
