0,1,2,3,4,5,6,7,8
Economy-wide wage,Initial,Change from base (%),,,,,,
,base,GB17-18,GB18-19,GB19-20,GB20-21,GB21-22,GB22-23,GB23-24
Labor - National,1.00,0.18,4.36,11.78,10.52,0.45,25.56,30.19
Not finished primary,1.00,0.04,0.87,2.12,1.91,-0.53,3.42,4.77
Finished primary,1.00,0.12,3.09,9.15,8.10,2.80,24.85,28.25
Finished secondary,1.00,0.38,9.22,25.54,22.72,0.96,60.09,70.31
Finished tertiary,1.00,0.52,12.47,33.74,30.08,0.22,76.91,89.62
Labor - Rural,1.00,0.15,3.58,9.63,8.61,0.40,20.82,24.56
Not finished primary,1.00,0.04,0.87,2.12,1.91,-0.53,3.42,4.77
Finished primary,1.00,0.12,2.99,8.88,7.88,2.70,24.17,27.47
Finished secondary,1.00,0.42,10.25,28.22,25.14,0.87,65.73,76.64
Finished tertiary,1.00,0.49,11.82,32.08,28.59,0.90,74.10,85.64
Labor - Urban,1.00,0.23,5.52,14.94,13.33,0.54,32.58,38.57
Not finished primary,1.00,0.04,0.87,2.12,1.91,-0.53,3.42,4.77
Finished primary,1.00,0.13,3.26,9.59,8.47,2.96,25.95,29.51
Finished secondary,1.00,0.34,8.38,23.34,20.73,1.04,55.45,65.12
Finished tertiary,1.00,0.54,12.89,34.83,31.06,-0.22,78.74,92.21
Crop land,1.00,-0.25,-5.48,-13.25,-11.46,2.97,-22.36,-28.72
Capital - Total,1.00,0.00,0.10,0.28,0.19,1.83,2.32,0.95
"Crops, forestry, fisheries",1.00,-0.25,-5.47,-13.22,-11.40,3.20,-22.16,-28.66
Livestock,1.00,-0.35,-7.68,-18.49,-16.88,5.12,-29.77,-39.22
Mining,1.00,0.05,1.09,2.53,2.21,-2.79,-0.12,4.46
Other non-agriculture,1.00,0.01,0.30,0.75,0.62,1.85,3.28,2.00
