0,1,2,3,4,5
Table 15: Bangladesh Energy Projects by ADB Gender Category,,,,,
"Year Approved 
and Completed",GEN,EGM,SGE,NGE,Total
2009–2012,–,1,2,1,4
2013–2016,–,2,2,3,7
Total,–,3,4,4,11
"EGM = effective gender mainstreaming, GEN = gender equity theme, NGE = no 
gender element, SGE = some gender elements.
Source: South Asia Department Gender and Development Database 2016.",,,,,
