0,1
"Step 1: Analytical 
Framework and 
Income Measure","• 
Time period (e.g., fiscal year, multi-year period) 
• 
Unit of analysis: 
- 
Household or individual level (e.g., per capita, per household) 
- 
Family size and structure (e.g., number of children/dependents) 
• 
Income measure: 
- 
Private income: wages, earnings, profits, rents, dividends, etc. 
- 
Government  spending:  transfers  (e.g.,  cash  transfers,  subsidies),  public 
wages, government purchases of goods and services, interest payments on 
public debt 
- 
Taxes paid: income tax, VAT, excise duties, social security contributions 
• 
Counterfactual  assumption 
(e.g.,  benefits  of  government 
spending  are 
allocated in a distributionally neutral manner, rather than a counterfactual that 
assumes no government expenditure."
"Step 2: Allocating 
Government 
Expenditures","• 
Public expenditure data:  
- 
Specific  expenditure  (e.g.,  health  services,  educational  subsidies,  public 
transport) 
- 
General expenditures (e.g., defense, law and order, and administration) 
• 
Unit costs for services (e.g., cost per student, cost per patient) 
• 
Disaggregated general expenditure 
- 
Administrative costs of transfer programs to help identify specific 
beneficiaries. 
• 
List of specific beneficiaries"
"Step 3: Applying 
Redistribution 
Indexes","• 
Redistribution indexes: 
- 
Local redistribution index: Relative Share Adjustment (RSA) – 
redistribution within income groups (e.g., poor, middle class, wealthy) 
- 
Global redistribution index: Gini coefficient or other inequality measures 
to assess overall income redistribution 
1. 
Income groupings: Income quintiles or deciles (e.g., poorest 20%, middle class, 
richest 20%) 
2. 
Share of total expenditure by income group 
3. 
Distributional effects: Share of government spending benefiting each income 
group or gender"
