0,1
Country,Gender-related initiatives
Canada,"In Canada, gender equality is a joint responsibility of federal, provincial, and territorial 
governments with a proper coordination and engagement mechanism. Since 1995, the 
federal government has committed to gender-based analysis of legislation, policies, 
and programs, making it mandatory for all Cabinet proposals in 2015. In Budget 2017, 
Canada introduced its first Gender Statement, assessing budget measures through a 
gender lens."
France,"France's 2014 Organic Law on Gender Equality made gender budgeting a key part of 
policymaking, requiring gender impact assessments for all new laws. It also introduced 
quotas for women in senior positions in the civil service, politics, and private sector. 
Since 2010, the annual Budget Law has included an annex on gender equality, outlining 
gender-disaggregated fiscal allocations. These measures ensure that public spending 
and policies actively promote gender equality."
Germany,"The German federal government views gender equality as a core policy objective and 
has integrated it into budget-making. Since 2000, it has been a guiding principle in the 
Joint  Rules  of  Procedure  of 
the  Federal  Ministries. 
Implementation  has  been 
particularly strong at the subnational level in which Berlin being a leading example."
Italy,"Italy  has  enacted  gender  equality  laws  at  both  local  and  national  levels,  with  the 
national budget funding initiatives in maternal care, daycare, women’s employment 
incentives,  and  combating  domestic  violence.  A  2016 
legislative  decree  on  State 
budget reform introduced gender budgeting on a trial basis at the national level."
Japan,"The 
Japanese  government  has  promoted  gender  equality 
through 
legislative 
measures,  including  the  Basic  Act  for  Gender  Equality  of  1999.  It  recently  formally 
adopted  gender  budgeting  to  integrate  gender  perspectives  into  fiscal  policies. Key 
priorities include enhancing women's participation in policymaking and employment, 
improving work-life balance, and reducing poverty. The government also focuses on 
advancing women's education and health to foster long-term gender equity."
"United 
Kingdom","The UK has integrated gender equality into fiscal policy through various initiatives. Key 
achievements 
include 
increasing  women's 
participation 
in 
employment 
and 
entrepreneurship. Policies have also focused on creating a supportive environment for 
working  mothers.  These  measures  aim  to  promote  economic  opportunities  and 
financial independence for women."
"United 
States","In  the  U.S.,  recent  legislation  has  aimed  to  combat  violence  against  women  and 
increase female representation in economic and technical leadership roles. However, 
the U.S. remains one of seven countries that has not ratified the UN Convention on 
the  Elimination  of  All  Forms  of  Discrimination  against  Women  (CEDAW).  At  the 
subnational level, San Francisco's gender budgeting initiative focuses on prioritizing 
women's needs in public services and improving infrastructure, particularly for safe 
lighting."
