0,1,2,3,4
"Table 8: Number of Male and Female Students  
in Major Private Universities of Bangladesh",,,,
University,"Total 
Students","Male 
Students","Female 
Students","% of 
Female 
Students"
North South University,"13,990","9,506","4,484",32.1
"University of Science and 
Technology Chittagong","4,203","2,336","1,867",44.4
"Ahsanullah University of 
Science and Technology","6,843","4,635","2,208",32.3
BRAC University,"6,552","3,846","2,706",41.3
"American International 
University-Bangladesh","10,571","7,925","2,646",25.0
Source: University Grants Commission. Annual Report 2014.,,,,
