0,1,2
"Illustrative outcomes of projects 
and related possible gender equality 
outcomesa","Examples of questions to consider 
in analyses to formulate project 
strategies and gender-related  
design features","Examples of possible gender-related 
design features, measures, and 
activities that might be relevant  
(or adaptable)"
Improved services,,
"New or upgraded urban water supply, 
sanitation, and waste disposal
• 	Better	reflection	of	women’s	
priorities in selection of 
infrastructure investments
• 	More	women-friendly	design	and	
placement of infrastructure and 
increased personal safety
• 	Decreased	workloads	and	time	spent	
for women to meet household water 
and sanitation needs","• 	What	do	women	identify	as	their	
water and sanitation needs and 
priorities? How does this compare 
with men’s?
• 	What	are	women’s	views	on	issues	
such as number and location of 
facilities (pumps, toilets); sharing  
vs. individual facilities; types of 
latrines; etc.?
• 	Are	women’s	voices	in	community	
discussions and decision-making 
about water supply and sanitation 
adequate to meet their extensive 
household responsibilities for water 
and hygiene?","• 	Ensure	that	consultations	identify	
issues of women and men separately 
to better respond to needs.
• 	Give	priority	to	women’s	views	
for type, design, and location of 
household or community water 
supply, toilet facilities, and waste 
collection.
• 	Emphasize	separate	toilet	
provisions for women in low-income 
communities."
"Increased access to water and 
sanitation supply with improved 
service standards. 
• 	More	households	with	connections,	
decreasing demands on women’s 
time and effort
• 	Better	conditions	for	women’s	
personal dignity and safety","• 	Has	the	approach	to	service	delivery	
in poor and slum areas considered 
how to overcome obstacles that poor 
households could face, particularly 
the lack of formal title or tenure to 
their dwelling?
• 	What	are	the	safety	issues	related	to	
location of water points and design 
and location of latrines that could  
be addressed through project plans 
and designs?","• 	Explore	options	to	ensure	that	
procedures for connection, billing, 
and payment do not exclude poor 
women and poor households.
• 	Consider	the	potential	for	policy	
reform to delink service provision 
to households from tenure 
arrangements.
• 	Where	toilets	are	not	private,	design	
and locate them so that women can 
reach and use them safely."
Employment opportunities,,
"Expanded employment and income 
opportunities associated with new 
facilities and services
• 	Equitable	access	to	employment	
and income opportunities generated 
in management, delivery, or 
maintenance of new and  
upgraded services
• 	Improved	opportunities,	
productivity, and incomes  
for women","• 	What	are	the	opportunities	for	
employment related to management 
of new facilities (e.g., monitoring of 
functioning, or metering and billing 
processes)? Or in maintenance of 
new facilities (e.g., cleaning, repair)?
• 	What	types	of	work	do	women	do	
(considering casual labor, domestic 
service, market trading, home-based 
production, etc.)?","• 	Encourage	municipal	authorities	
managing new facilities to target 
women for training and employment 
in community-based management 
and maintenance.
• 	Consider	the	potential	to	involve	
women’s enterprises or self-help 
groups for management of tasks 
such as meter reading, billing, 
or consumer information, or for 
maintenance tasks."
