sector_name,year,value_millions,sector_code,base_year,price_type
Agriculture and Forestry,2013,916565.0,A,2015,current
Crops and Horticulture ,2013,664270.0,A_CROP,2015,current
Animal Farmings ,2013,128927.0,A_LIVE,2015,current
Forest and Related Services ,2013,123367.0,A_FOR,2015,current
Fishing ,2013,257795.0,A_FISH,2015,current
Mining and Quarrying,2013,115839.0,B,2015,current
Natural Gas and Crude Petroleum,2013,71017.0,B,2015,current
Other Mining and Coal ,2013,44822.0,B,2015,current
Manufacturing ,2013,1329941.0,C,2015,current
Large and Medium Scale,2013,1084362.0,A,2015,current
Small Scale,2013,245579.0,A,2015,current
"Electricity, Gas and Water Supply ",2013,101257.0,D,2015,current
Electricity,2013,84765.0,D,2015,current
Gas ,2013,10600.0,D,2015,current
Water ,2013,5892.0,A,2015,current
Construction ,2013,483046.0,F,2015,current
Wholesale and Retail Trade ,2013,981731.0,G,2015,current
Hotel and Restaurants,2013,52204.0,A,2015,current
"Transport, Storage and Communication",2013,805140.0,H,2015,current
Land Transport,2013,511361.0,H,2015,current
Water transport,2013,58588.0,H,2015,current
Air Transport,2013,8943.0,H,2015,current
"Support transport services, storage ",2013,47187.0,N,2015,current
Post and Telecommunication,2013,179061.0,A,2015,current
Financial Intermediations,2013,231097.0,K,2015,current
Banks,2013,191197.0,A,2015,current
Insurances,2013,27098.0,A,2015,current
Others ,2013,12802.0,E,2015,current
"Real Estate, Renting and Business Activities ",2013,495089.0,A,2015,current
Public Administration and Defense ,2013,235419.0,A,2015,current
Education ,2013,156447.0,P,2015,current
Health and Social Works,2013,131367.0,Q,2015,current
"Community, Social and Personal Services",2013,706426.0,S,2015,current
Total GVA at constant basic price,2013,6999363.0,TOTAL,2015,current
GDP at constant market prices,2013,7298960.0,TOTAL,2015,current
Domestic demand (1)+(2),2013,12750971.0,A,2015,current
Consumption (1),2013,9347273.0,C,2015,current
Private,2013,8733888.0,A,2015,current
General Govt.,2013,613385.0,A,2015,current
Investment (2),2013,3403697.0,E,2015,current
Private,2013,2607486.0,A,2015,current
Public,2013,796211.0,B,2015,current
Resource balance (3)-(4),2013,-865701.0,A,2015,current
Exports (3),2013,2342441.0,E,2015,current
Imports (4),2013,3208142.0,I,2015,current
Gross Domestic Exp. at m.p.,2013,11885270.0,A,2015,current
Gross Domestic Product at m.p.(5),2013,11989230.0,A,2015,current
Statistical Discrepancy (6),2013,103962.0,A,2015,current
Net factor income from abroad (7),2013,964291.0,A,2015,current
Gross National Income at m.p. (8)=(5)+(7),2013,12953523.0,A,2015,current
Net current transfers from abroad (9),2013,53749.0,A,2015,current
Gross Disposible National Income (10)=(8)+(9),2013,13007272.0,A,2015,current
Gross Domestic saving (11)=(5)-(1),2013,2641959.0,A,2015,current
Gross National saving (12)=(10)-(1),2013,3659999.0,A,2015,current
Current Account Balance (13)=(12)-(2)-(6),2013,152339.0,A,2015,current
Comsumption,2013,77.96,C,2015,current
Private,2013,72.8,A,2015,current
General Govt.,2013,5.12,A,2015,current
Investment,2013,28.39,E,2015,current
Private,2013,21.75,A,2015,current
Public,2013,6.64,B,2015,current
Exports of goods & services,2013,19.54,S,2015,current
Imports of goods & services,2013,26.76,S,2015,current
Gross Domestic saving,2013,22.04,A,2015,current
Gross National saving,2013,30.53,A,2015,current
Domestic demand (1)+(2),2013,7490025.0,A,2015,current
Consumption (1),2013,5282071.0,C,2015,current
Private,2013,4913936.0,A,2015,current
General Govt.,2013,368135.0,A,2015,current
Investment (2),2013,2207954.0,E,2015,current
Private,2013,1713349.0,A,2015,current
Public,2013,494605.0,B,2015,current
Resource balance (3)-(4),2013,-255176.0,A,2015,current
Exports (3),2013,1436734.0,E,2015,current
Imports (4),2013,1691911.0,I,2015,current
Gross Domestic Exp. at m.p.,2013,7234849.0,A,2015,current
Gross Domestic Product at m.p.(5),2013,7298960.0,A,2015,current
Statistical Discrepancy (6),2013,64116.0,A,2015,current
Net factor income from abroad (7),2013,587054.0,A,2015,current
Gross National Income at m.p. (8)=(5)+(7),2013,7886019.0,A,2015,current
Net current transfers from abroad (9),2013,32722.0,A,2015,current
Gross Disposible National Income (10)=(8)+(9),2013,7918741.0,A,2015,current
Agriculture and Forestry,2014,1639682.0,A,2015,current
Crops and Horticulture ,2014,1179029.0,A_CROP,2015,current
Animal Farmings ,2014,276668.0,A_LIVE,2015,current
Forest and Related Services ,2014,183985.0,A_FOR,2015,current
Fishing ,2014,423076.0,A_FISH,2015,current
Mining and Quarrying,2014,210799.0,B,2015,current
Natural Gas and Crude Petroleum,2014,81557.0,B,2015,current
Other Mining and Coal ,2014,129242.0,B,2015,current
Manufacturing ,2014,2232207.0,C,2015,current
Large and Medium Scale,2014,1803818.0,A,2015,current
Small Scale,2014,428389.0,A,2015,current
"Electricity, Gas and Water Supply ",2014,184006.0,D,2015,current
Electricity,2014,138335.0,D,2015,current
Gas ,2014,36759.0,D,2015,current
Water ,2014,8912.0,A,2015,current
Construction ,2014,908336.0,F,2015,current
Wholesale and Retail Trade ,2014,1725752.0,G,2015,current
Hotel and Restaurants,2014,130353.0,A,2015,current
"Transport, Storage and Communication",2014,1343166.0,H,2015,current
Land Transport,2014,993106.0,H,2015,current
Water transport,2014,80643.0,H,2015,current
Air Transport,2014,11156.0,H,2015,current
"Support transport services, storage ",2014,66716.0,N,2015,current
Post and Telecommunication,2014,191544.0,A,2015,current
Financial Intermediations,2014,485632.0,K,2015,current
Banks,2014,403897.0,A,2015,current
Insurances,2014,53636.0,A,2015,current
Others ,2014,28100.0,E,2015,current
"Real Estate, Renting and Business Activities ",2014,912291.0,A,2015,current
Public Administration and Defense ,2014,447278.0,A,2015,current
Education ,2014,327673.0,P,2015,current
Health and Social Works,2014,269238.0,Q,2015,current
"Community, Social and Personal Services",2014,1565516.0,S,2015,current
Total GVA at current basic price,2014,12805005.0,TOTAL,2015,current
Tax less subsidy,2014,631739.0,A,2015,current
GDP at current market prices,2014,13436740.0,TOTAL,2015,current
Agriculture and Forestry,2014,951513.0,A,2015,current
Crops and Horticulture ,2014,689378.0,A_CROP,2015,current
Animal Farmings ,2014,132581.0,A_LIVE,2015,current
Forest and Related Services ,2014,129553.0,A_FOR,2015,current
Fishing ,2014,274189.0,A_FISH,2015,current
Mining and Quarrying,2014,121265.0,B,2015,current
Natural Gas and Crude Petroleum,2014,72769.0,B,2015,current
Other Mining and Coal ,2014,48496.0,B,2015,current
Manufacturing ,2014,1446534.0,C,2015,current
Large and Medium Scale,2014,1185403.0,A,2015,current
Small Scale,2014,261131.0,A,2015,current
"Electricity, Gas and Water Supply ",2014,105853.0,D,2015,current
Electricity,2014,88538.0,D,2015,current
Gas ,2014,10779.0,D,2015,current
Water ,2014,6536.0,A,2015,current
Construction ,2014,522087.0,F,2015,current
Wholesale and Retail Trade ,2014,1047757.0,G,2015,current
Hotel and Restaurants,2014,55701.0,A,2015,current
"Transport, Storage and Communication",2014,853824.0,H,2015,current
Land Transport,2014,539808.0,H,2015,current
Water transport,2014,60433.0,H,2015,current
Air Transport,2014,8997.0,H,2015,current
"Support transport services, storage ",2014,48407.0,N,2015,current
Post and Telecommunication,2014,196179.0,A,2015,current
Financial Intermediations,2014,247902.0,K,2015,current
Banks,2014,207117.0,A,2015,current
Insurances,2014,27517.0,A,2015,current
Others ,2014,13267.0,E,2015,current
"Real Estate, Renting and Business Activities ",2014,516147.0,A,2015,current
Public Administration and Defense ,2014,251646.0,A,2015,current
Education ,2014,167809.0,P,2015,current
Health and Social Works,2014,138021.0,Q,2015,current
"Community, Social and Personal Services",2014,729554.0,S,2015,current
Total GVA at constant basic price,2014,7429801.0,TOTAL,2015,current
Tax less subsidy,2014,311560.0,A,2015,current
GDP at constant market prices,2014,7741361.0,TOTAL,2015,current
Domestic demand (1)+(2),2014,14308511.0,A,2015,current
Consumption (1),2014,10468575.0,C,2015,current
Private,2014,9751386.0,A,2015,current
General Govt.,2014,717189.0,A,2015,current
Investment (2),2014,3839936.0,E,2015,current
Private,2014,2960024.0,A,2015,current
Public,2014,879912.0,B,2015,current
Resource balance (3)-(4),2014,-878059.0,A,2015,current
Exports (3),2014,2551592.0,E,2015,current
Imports (4),2014,3429651.0,I,2015,current
Gross Domestic Exp. at m.p.,2014,13430452.0,A,2015,current
Gross Domestic Product at m.p.(5),2014,13436740.0,A,2015,current
Statistical Discrepancy (6),2014,6292.0,A,2015,current
Net factor income from abroad (7),2014,895494.0,A,2015,current
Gross National Income at m.p. (8)=(5)+(7),2014,14332238.0,A,2015,current
Net current transfers from abroad (9),2014,63342.0,A,2015,current
Gross Disposible National Income (10)=(8)+(9),2014,14395580.0,A,2015,current
Gross Domestic saving (11)=(5)-(1),2014,2968169.0,A,2015,current
Gross National saving (12)=(10)-(1),2014,3927005.0,A,2015,current
Current Account Balance (13)=(12)-(2)-(6),2014,80777.0,A,2015,current
Comsumption,2014,77.91,C,2015,current
Private,2014,72.57,A,2015,current
General Govt.,2014,5.34,A,2015,current
Investment,2014,28.58,E,2015,current
Private,2014,22.03,A,2015,current
Public,2014,6.55,B,2015,current
Exports of goods & services,2014,18.99,S,2015,current
Imports of goods & services,2014,25.52,S,2015,current
Gross Domestic saving,2014,22.09,A,2015,current
Gross National saving,2014,29.23,A,2015,current
Domestic demand (1)+(2),2014,7933480.0,A,2015,current
Consumption (1),2014,5507931.0,C,2015,current
Private,2014,5110768.0,A,2015,current
General Govt.,2014,397163.0,A,2015,current
Investment (2),2014,2425549.0,E,2015,current
Private,2014,1873379.0,A,2015,current
Public,2014,552170.0,B,2015,current
Resource balance (3)-(4),2014,-228952.0,A,2015,current
Exports (3),2014,1482726.0,E,2015,current
Imports (4),2014,1711678.0,I,2015,current
Gross Domestic Exp. at m.p.,2014,7704528.0,A,2015,current
Gross Domestic Product at m.p.(5),2014,7741361.0,A,2015,current
Statistical Discrepancy (6),2014,36833.0,A,2015,current
Net factor income from abroad (7),2014,515924.0,A,2015,current
Gross National Income at m.p. (8)=(5)+(7),2014,8257285.0,A,2015,current
Net current transfers from abroad (9),2014,36493.0,A,2015,current
Gross Disposible National Income (10)=(8)+(9),2014,8293779.0,A,2015,current
Agriculture and Forestry,2015,1764997.0,A,2015,current
Crops and Horticulture ,2015,1261209.0,A_CROP,2015,current
Animal Farmings ,2015,298845.0,A_LIVE,2015,current
Forest and Related Services ,2015,204942.0,A_FOR,2015,current
Fishing ,2015,475813.0,A_FISH,2015,current
Mining and Quarrying,2015,238757.0,B,2015,current
Natural Gas and Crude Petroleum,2015,91877.0,B,2015,current
Other Mining and Coal ,2015,146880.0,B,2015,current
Manufacturing ,2015,2544831.0,C,2015,current
Large and Medium Scale,2015,2059920.0,A,2015,current
Small Scale,2015,484911.0,A,2015,current
"Electricity, Gas and Water Supply ",2015,198682.0,D,2015,current
Electricity,2015,150614.0,D,2015,current
Gas ,2015,37866.0,D,2015,current
Water ,2015,10203.0,A,2015,current
Construction ,2015,1084839.0,F,2015,current
Wholesale and Retail Trade ,2015,1925854.0,G,2015,current
Hotel and Restaurants,2015,149279.0,A,2015,current
"Transport, Storage and Communication",2015,1500253.0,H,2015,current
Land Transport,2015,1120956.0,H,2015,current
Water transport,2015,89674.0,H,2015,current
Air Transport,2015,12688.0,H,2015,current
"Support transport services, storage ",2015,74270.0,N,2015,current
Post and Telecommunication,2015,202665.0,A,2015,current
Financial Intermediations,2015,557610.0,K,2015,current
Banks,2015,466437.0,A,2015,current
Insurances,2015,59376.0,A,2015,current
Others ,2015,31796.0,E,2015,current
"Real Estate, Renting and Business Activities ",2015,1060609.0,A,2015,current
Public Administration and Defense ,2015,506741.0,A,2015,current
Education ,2015,376240.0,P,2015,current
Health and Social Works,2015,301352.0,Q,2015,current
"Community, Social and Personal Services",2015,1764017.0,S,2015,current
Total GVA at current basic price,2015,14449873.0,TOTAL,2015,current
Tax less subsidy,2015,708149.0,A,2015,current
GDP at current market prices,2015,15158020.0,TOTAL,2015,current
Agriculture and Forestry,2015,974802.0,A,2015,current
Crops and Horticulture ,2015,701996.0,A_CROP,2015,current
Animal Farmings ,2015,136666.0,A_LIVE,2015,current
Forest and Related Services ,2015,136139.0,A_FOR,2015,current
Fishing ,2015,291695.0,A_FISH,2015,current
Mining and Quarrying,2015,132901.0,B,2015,current
Natural Gas and Crude Petroleum,2015,79120.0,B,2015,current
Other Mining and Coal ,2015,53781.0,B,2015,current
Manufacturing ,2015,1595680.0,C,2015,current
Large and Medium Scale,2015,1312254.0,A,2015,current
Small Scale,2015,283426.0,A,2015,current
"Electricity, Gas and Water Supply ",2015,112435.0,D,2015,current
Electricity,2015,93934.0,D,2015,current
Gas ,2015,11336.0,D,2015,current
Water ,2015,7164.0,A,2015,current
Construction ,2015,566983.0,F,2015,current
Wholesale and Retail Trade ,2015,1114256.0,G,2015,current
Hotel and Restaurants,2015,59504.0,A,2015,current
"Transport, Storage and Communication",2015,904748.0,H,2015,current
Land Transport,2015,573182.0,H,2015,current
Water transport,2015,62622.0,H,2015,current
Air Transport,2015,9781.0,H,2015,current
"Support transport services, storage ",2015,51005.0,N,2015,current
Post and Telecommunication,2015,208159.0,A,2015,current
Financial Intermediations,2015,267192.0,K,2015,current
Banks,2015,224700.0,A,2015,current
Insurances,2015,28604.0,A,2015,current
Others ,2015,13888.0,E,2015,current
"Real Estate, Renting and Business Activities ",2015,538880.0,A,2015,current
Public Administration and Defense ,2015,276365.0,A,2015,current
Education ,2015,181250.0,P,2015,current
Health and Social Works,2015,145174.0,Q,2015,current
"Community, Social and Personal Services",2015,753518.0,S,2015,current
Total GVA at constant basic price,2015,7915384.0,TOTAL,2015,current
Tax less subsidy,2015,333240.0,A,2015,current
GDP at constant market prices,2015,8248624.0,TOTAL,2015,current
Domestic demand (1)+(2),2015,16177888.0,A,2015,current
Consumption (1),2015,11799237.0,C,2015,current
Private,2015,10980061.0,A,2015,current
General Govt.,2015,819176.0,A,2015,current
Investment (2),2015,4378651.0,E,2015,current
Private,2015,3344722.0,A,2015,current
Public,2015,1033929.0,B,2015,current
Resource balance (3)-(4),2015,-1123611.0,A,2015,current
Exports (3),2015,2627897.0,E,2015,current
Imports (4),2015,3751508.0,I,2015,current
Gross Domestic Exp. at m.p.,2015,15054277.0,A,2015,current
Gross Domestic Product at m.p.(5),2015,15158020.0,A,2015,current
Statistical Discrepancy (6),2015,103745.0,A,2015,current
Net factor income from abroad (7),2015,984021.0,A,2015,current
Gross National Income at m.p. (8)=(5)+(7),2015,16142043.0,A,2015,current
Net current transfers from abroad (9),2015,56001.0,A,2015,current
Gross Disposible National Income (10)=(8)+(9),2015,16198044.0,A,2015,current
Gross Domestic saving (11)=(5)-(1),2015,3358785.0,A,2015,current
Gross National saving (12)=(10)-(1),2015,4398807.0,A,2015,current
Current Account Balance (13)=(12)-(2)-(6),2015,-83589.0,A,2015,current
Comsumption,2015,77.84,C,2015,current
Private,2015,72.44,A,2015,current
General Govt.,2015,5.4,A,2015,current
Investment,2015,28.89,E,2015,current
Private,2015,22.07,A,2015,current
Public,2015,6.82,B,2015,current
Exports of goods & services,2015,17.34,S,2015,current
Imports of goods & services,2015,24.75,S,2015,current
Gross Domestic saving,2015,22.16,A,2015,current
Gross National saving,2015,29.02,A,2015,current
Domestic demand (1)+(2),2015,8438208.0,A,2015,current
Consumption (1),2015,5839989.0,C,2015,current
Private,2015,5408068.0,A,2015,current
General Govt.,2015,431921.0,A,2015,current
Investment (2),2015,2598219.0,E,2015,current
Private,2015,1986084.0,A,2015,current
Public,2015,612135.0,B,2015,current
Resource balance (3)-(4),2015,-325733.0,A,2015,current
Exports (3),2015,1440765.0,E,2015,current
Imports (4),2015,1766498.0,I,2015,current
Gross Domestic Exp. at m.p.,2015,8112475.0,A,2015,current
Gross Domestic Product at m.p.(5),2015,8248624.0,A,2015,current
Statistical Discrepancy (6),2015,136149.0,A,2015,current
Net factor income from abroad (7),2015,535480.0,A,2015,current
Gross National Income at m.p. (8)=(5)+(7),2015,8784104.0,A,2015,current
Net current transfers from abroad (9),2015,30474.0,A,2015,current
Gross Disposible National Income (10)=(8)+(9),2015,8814578.0,A,2015,current
