sector_name,year,value_millions,sector_code,base_year,price_type
Crops and Horticulture ,2008,546755.4467910448,A_CROP,2015,current
Animal Farmings ,2008,116687.73934253928,A_LIVE,2015,current
Forest and Related Services ,2008,94309.52105904894,A_FOR,2015,current
Fishing ,2008,198506.69984517095,A_FISH,2015,current
Mining and Quarrying,2008,80299.43180659725,B,2015,current
Natural Gas and Crude Petroleum,2008,53353.62827519691,B,2015,current
Other Mining and Coal ,2008,27017.23763407907,B,2015,current
Manufacturing ,2008,876104.3142804138,C,2015,current
Large and Medium Scale,2008,703052.5846220199,A,2015,current
Small Scale,2008,173291.3267014907,A,2015,current
"Electricity, Gas and Water Supply ",2008,59884.50047509118,D,2015,current
Electricity,2008,47859.87433494446,D,2015,current
Gas ,2008,7891.772856537853,D,2015,current
Water ,2008,4086.803148250751,A,2015,current
Construction ,2008,340235.2161120944,F,2015,current
Wholesale and Retail Trade ,2008,705961.2759565936,G,2015,current
Hotel and Restaurants,2008,38044.81094901472,A,2015,current
"Transport, Storage and Communication",2008,549385.1252133723,H,2015,current
Land Transport,2008,369004.3859826085,H,2015,current
Water transport,2008,50633.28305797794,H,2015,current
Air Transport,2008,5657.30839138706,H,2015,current
"Support transport services, storage ",2008,30239.020703699927,N,2015,current
Post and Telecommunication,2008,98351.65394913687,A,2015,current
Financial Intermediations,2008,144304.373944551,K,2015,current
Banks,2008,115373.30877370528,A,2015,current
Insurances,2008,19275.09489725237,A,2015,current
Others ,2008,9515.838570306363,E,2015,current
"Real Estate, Renting and Business Activities ",2008,400764.62675577233,A,2015,current
Public Administration and Defense ,2008,163037.81840455902,A,2015,current
Education ,2008,120718.19189106033,P,2015,current
Health and Social Works,2008,99200.53111406318,Q,2015,current
"Community, Social and Personal Services",2008,510866.8884390664,S,2015,current
Total GVA at constant basic price,2008,5047330.110499099,TOTAL,2015,current
GDP at constant market prices,2008,5474370.0,TOTAL,2015,current
Private,2008,4754869.0,A,2015,current
General Govt.,2008,325549.0,A,2015,current
Investment (2),2008,1647290.0,E,2015,current
Exports (3),2008,1110181.0,E,2015,current
Imports (4),2008,1569320.0,I,2015,current
Gross Domestic Product at m.p.(5),2008,6286820.0,A,2015,current
Statistical Discrepancy (6),2008,18253.0,A,2015,current
Net factor income from abroad (7),2008,483895.0,A,2015,current
Gross National Income at m.p. (8)=(5)+(7),2008,6770717.0,A,2015,current
Net current transfers from abroad (9),2008,56713.0,A,2015,current
Gross Disposible National Income (10)=(8)+(9),2008,6827430.0,A,2015,current
Gross National saving (12)=(10)-(1),2008,1747012.0,A,2015,current
Gross Domestic Product at m.p.(5),2008,5474370.0,A,2015,current
Agriculture and Forestry,2009,978070.0,A,2015,current
Crops and Horticulture ,2009,711580.0,A_CROP,2015,current
Animal Farmings ,2009,158300.0,A_LIVE,2015,current
Forest and Related Services ,2009,108190.0,A_FOR,2015,current
Fishing ,2009,227930.0,A_FISH,2015,current
Mining and Quarrying,2009,109620.0,B,2015,current
Natural Gas and Crude Petroleum,2009,61940.0,B,2015,current
Other Mining and Coal ,2009,47690.0,B,2015,current
Manufacturing ,2009,1161970.0,C,2015,current
Large and Medium Scale,2009,919960.0,A,2015,current
Small Scale,2009,242010.0,A,2015,current
"Electricity, Gas and Water Supply ",2009,70120.0,D,2015,current
Electricity,2009,52820.0,D,2015,current
Gas ,2009,12490.0,D,2015,current
Water ,2009,4810.0,A,2015,current
Construction ,2009,441800.0,F,2015,current
Wholesale and Retail Trade ,2009,960940.0,G,2015,current
Hotel and Restaurants,2009,57900.0,A,2015,current
"Transport, Storage and Communication",2009,671850.0,H,2015,current
Land Transport,2009,469940.0,H,2015,current
Water transport,2009,55250.0,H,2015,current
Air Transport,2009,6820.0,H,2015,current
"Support transport services, storage ",2009,34230.0,N,2015,current
Post and Telecommunication,2009,105610.0,A,2015,current
Financial Intermediations,2009,200030.0,K,2015,current
Banks,2009,158170.0,A,2015,current
Insurances,2009,26260.0,A,2015,current
Others ,2009,15600.0,E,2015,current
"Real Estate, Renting and Business Activities ",2009,494490.0,A,2015,current
Public Administration and Defense ,2009,224640.0,A,2015,current
Education ,2009,162500.0,P,2015,current
Health and Social Works,2009,133680.0,Q,2015,current
"Community, Social and Personal Services",2009,853660.0,S,2015,current
Total GVA at current basic price,2009,6749198.0,TOTAL,2015,current
Tax less subsidy,2009,301520.0,A,2015,current
GDP at current market prices,2009,7050720.0,TOTAL,2015,current
Agriculture and Forestry,2009,789133.0,A,2015,current
Crops and Horticulture ,2009,568708.0,A_CROP,2015,current
Animal Farmings ,2009,120747.0,A_LIVE,2015,current
Forest and Related Services ,2009,99678.0,A_FOR,2015,current
Fishing ,2009,206764.0,A_FISH,2015,current
Mining and Quarrying,2009,88199.0,B,2015,current
Natural Gas and Crude Petroleum,2009,58238.0,B,2015,current
Other Mining and Coal ,2009,29961.0,B,2015,current
Manufacturing ,2009,934589.0,C,2015,current
Large and Medium Scale,2009,749336.0,A,2015,current
Small Scale,2009,185253.0,A,2015,current
"Electricity, Gas and Water Supply ",2009,63424.0,D,2015,current
Electricity,2009,50439.0,D,2015,current
Gas ,2009,8556.0,D,2015,current
Water ,2009,4429.0,A,2015,current
Construction ,2009,359616.0,F,2015,current
Wholesale and Retail Trade ,2009,749785.0,G,2015,current
Hotel and Restaurants,2009,40928.0,A,2015,current
"Transport, Storage and Communication",2009,593396.0,H,2015,current
Land Transport,2009,388092.0,H,2015,current
Water transport,2009,51880.0,H,2015,current
Air Transport,2009,6074.0,H,2015,current
"Support transport services, storage ",2009,33156.0,N,2015,current
Post and Telecommunication,2009,114194.0,A,2015,current
Financial Intermediations,2009,157283.0,K,2015,current
Banks,2009,125817.0,A,2015,current
Insurances,2009,20891.0,A,2015,current
Others ,2009,10575.0,E,2015,current
"Real Estate, Renting and Business Activities ",2009,416051.0,A,2015,current
Public Administration and Defense ,2009,174471.0,A,2015,current
Education ,2009,130439.0,P,2015,current
Health and Social Works,2009,106340.0,Q,2015,current
"Community, Social and Personal Services",2009,534893.0,S,2015,current
Total GVA at constant basic price,2009,5345311.0,TOTAL,2015,current
GDP at constant market prices,2009,5750560.0,TOTAL,2015,current
Private,2009,5257991.0,A,2015,current
General Govt.,2009,359146.0,A,2015,current
Investment (2),2009,1847715.0,E,2015,current
Exports (3),2009,1194401.0,E,2015,current
Imports (4),2009,1632429.0,I,2015,current
Gross Domestic Product at m.p.(5),2009,7050720.0,A,2015,current
Statistical Discrepancy (6),2009,23894.0,A,2015,current
Net factor income from abroad (7),2009,559012.0,A,2015,current
Gross National Income at m.p. (8)=(5)+(7),2009,7609730.0,A,2015,current
Net current transfers from abroad (9),2009,24069.0,A,2015,current
Gross Disposible National Income (10)=(8)+(9),2009,7633799.0,A,2015,current
Gross National saving (12)=(10)-(1),2009,2016662.0,A,2015,current
Gross Domestic Product at m.p.(5),2009,5750560.0,A,2015,current
Agriculture and Forestry,2010,1109903.0,A,2015,current
Crops and Horticulture ,2010,814050.0,A_CROP,2015,current
Animal Farmings ,2010,175272.0,A_LIVE,2015,current
Forest and Related Services ,2010,120581.0,A_FOR,2015,current
Fishing ,2010,246007.0,A_FISH,2015,current
Mining and Quarrying,2010,126449.0,B,2015,current
Natural Gas and Crude Petroleum,2010,68032.0,B,2015,current
Other Mining and Coal ,2010,58418.0,B,2015,current
Manufacturing ,2010,1285730.0,C,2015,current
Large and Medium Scale,2010,1016187.0,A,2015,current
Small Scale,2010,269543.0,A,2015,current
"Electricity, Gas and Water Supply ",2010,83457.0,D,2015,current
Electricity,2010,60034.0,D,2015,current
Gas ,2010,18088.0,D,2015,current
Water ,2010,5334.0,A,2015,current
Construction ,2010,494739.0,F,2015,current
Wholesale and Retail Trade ,2010,1066064.0,G,2015,current
Hotel and Restaurants,2010,70276.0,A,2015,current
"Transport, Storage and Communication",2010,804542.0,H,2015,current
Land Transport,2010,575736.0,H,2015,current
Water transport,2010,63859.0,H,2015,current
Air Transport,2010,8106.0,H,2015,current
"Support transport services, storage ",2010,38258.0,N,2015,current
Post and Telecommunication,2010,118584.0,A,2015,current
Financial Intermediations,2010,234478.0,K,2015,current
Banks,2010,175085.0,A,2015,current
Insurances,2010,33562.0,A,2015,current
Others ,2010,25831.0,E,2015,current
"Real Estate, Renting and Business Activities ",2010,544324.0,A,2015,current
Public Administration and Defense ,2010,254256.0,A,2015,current
Education ,2010,182575.0,P,2015,current
Health and Social Works,2010,153258.0,Q,2015,current
"Community, Social and Personal Services",2010,956922.0,S,2015,current
Total GVA at current basic price,2010,7612981.0,TOTAL,2015,current
Tax less subsidy,2010,362406.0,A,2015,current
GDP at current market prices,2010,7975390.0,TOTAL,2015,current
Agriculture and Forestry,2010,849042.0,A,2015,current
Crops and Horticulture ,2010,624923.0,A_CROP,2015,current
Animal Farmings ,2010,119120.0,A_LIVE,2015,current
Forest and Related Services ,2010,104999.0,A_FOR,2015,current
Fishing ,2010,216066.0,A_FISH,2015,current
Mining and Quarrying,2010,95611.0,B,2015,current
Natural Gas and Crude Petroleum,2010,63197.0,B,2015,current
Other Mining and Coal ,2010,32414.0,B,2015,current
Manufacturing ,2010,996709.0,C,2015,current
Large and Medium Scale,2010,796314.0,A,2015,current
Small Scale,2010,200395.0,A,2015,current
"Electricity, Gas and Water Supply ",2010,74118.0,D,2015,current
Electricity,2010,60125.0,D,2015,current
Gas ,2010,9308.0,D,2015,current
Water ,2010,4686.0,A,2015,current
Construction ,2010,385542.0,F,2015,current
Wholesale and Retail Trade ,2010,812193.0,G,2015,current
Hotel and Restaurants,2010,43390.0,A,2015,current
"Transport, Storage and Communication",2010,640059.0,H,2015,current
Land Transport,2010,421685.0,H,2015,current
Water transport,2010,53495.0,H,2015,current
Air Transport,2010,7460.0,H,2015,current
"Support transport services, storage ",2010,34671.0,N,2015,current
Post and Telecommunication,2010,122747.0,A,2015,current
Financial Intermediations,2010,167107.0,K,2015,current
Banks,2010,129782.0,A,2015,current
Insurances,2010,24878.0,A,2015,current
Others ,2010,12447.0,E,2015,current
"Real Estate, Renting and Business Activities ",2010,440778.0,A,2015,current
Public Administration and Defense ,2010,188823.0,A,2015,current
Education ,2010,129306.0,P,2015,current
Health and Social Works,2010,113600.0,Q,2015,current
"Community, Social and Personal Services",2010,641909.0,S,2015,current
Total GVA at constant basic price,2010,5794253.0,TOTAL,2015,current
GDP at constant market prices,2010,6070970.0,TOTAL,2015,current
Private,2010,5910930.0,A,2015,current
General Govt.,2010,404777.0,A,2015,current
Investment (2),2010,2093272.0,E,2015,current
Exports (3),2010,1277985.0,E,2015,current
Imports (4),2010,1736938.0,I,2015,current
Gross Domestic Product at m.p.(5),2010,7975390.0,A,2015,current
Statistical Discrepancy (6),2010,25361.0,A,2015,current
Net factor income from abroad (7),2010,646035.0,A,2015,current
Gross National Income at m.p. (8)=(5)+(7),2010,8621422.0,A,2015,current
Net current transfers from abroad (9),2010,42479.0,A,2015,current
Gross Disposible National Income (10)=(8)+(9),2010,8663901.0,A,2015,current
Gross National saving (12)=(10)-(1),2010,2348194.0,A,2015,current
Gross Domestic Product at m.p.(5),2010,6070970.0,A,2015,current
Agriculture and Forestry,2011,1254686.0,A,2015,current
Crops and Horticulture ,2011,919028.0,A_CROP,2015,current
Animal Farmings ,2011,201707.0,A_LIVE,2015,current
Forest and Related Services ,2011,133952.0,A_FOR,2015,current
Fishing ,2011,284820.0,A_FISH,2015,current
Mining and Quarrying,2011,142084.0,B,2015,current
Natural Gas and Crude Petroleum,2011,68456.0,B,2015,current
Other Mining and Coal ,2011,73628.0,B,2015,current
Manufacturing ,2011,1465027.0,C,2015,current
Large and Medium Scale,2011,1164533.0,A,2015,current
Small Scale,2011,300494.0,A,2015,current
"Electricity, Gas and Water Supply ",2011,115893.0,D,2015,current
Electricity,2011,86460.0,D,2015,current
Gas ,2011,23386.0,D,2015,current
Water ,2011,6048.0,A,2015,current
Construction ,2011,570716.0,F,2015,current
Wholesale and Retail Trade ,2011,1213319.0,G,2015,current
Hotel and Restaurants,2011,82283.0,A,2015,current
"Transport, Storage and Communication",2011,945711.0,H,2015,current
Land Transport,2011,687171.0,H,2015,current
Water transport,2011,69342.0,H,2015,current
Air Transport,2011,9569.0,H,2015,current
"Support transport services, storage ",2011,44100.0,N,2015,current
Post and Telecommunication,2011,135528.0,A,2015,current
Financial Intermediations,2011,275454.0,K,2015,current
Banks,2011,215222.0,A,2015,current
Insurances,2011,37862.0,A,2015,current
Others ,2011,22371.0,E,2015,current
"Real Estate, Renting and Business Activities ",2011,601190.0,A,2015,current
Public Administration and Defense ,2011,302820.0,A,2015,current
Education ,2011,213920.0,P,2015,current
Health and Social Works,2011,177312.0,Q,2015,current
"Community, Social and Personal Services",2011,1046077.0,S,2015,current
Total GVA at current basic price,2011,8691312.0,TOTAL,2015,current
Tax less subsidy,2011,466976.0,A,2015,current
GDP at current market prices,2011,9158290.0,TOTAL,2015,current
Agriculture and Forestry,2011,882059.0,A,2015,current
Crops and Horticulture ,2011,649011.0,A_CROP,2015,current
Animal Farmings ,2011,122211.0,A_LIVE,2015,current
Forest and Related Services ,2011,110838.0,A_FOR,2015,current
Fishing ,2011,230514.0,A_FISH,2015,current
Mining and Quarrying,2011,99069.0,B,2015,current
Natural Gas and Crude Petroleum,2011,63628.0,B,2015,current
Other Mining and Coal ,2011,35441.0,B,2015,current
Manufacturing ,2011,1096514.0,C,2015,current
Large and Medium Scale,2011,884753.0,A,2015,current
Small Scale,2011,211760.0,A,2015,current
"Electricity, Gas and Water Supply ",2011,84023.0,D,2015,current
Electricity,2011,69638.0,D,2015,current
Gas ,2011,9314.0,D,2015,current
Water ,2011,5071.0,A,2015,current
Construction ,2011,412350.0,F,2015,current
Wholesale and Retail Trade ,2011,866497.0,G,2015,current
Hotel and Restaurants,2011,46079.0,A,2015,current
"Transport, Storage and Communication",2011,694094.0,H,2015,current
Land Transport,2011,451976.0,H,2015,current
Water transport,2011,55055.0,H,2015,current
Air Transport,2011,8596.0,H,2015,current
"Support transport services, storage ",2011,38821.0,N,2015,current
Post and Telecommunication,2011,139645.0,A,2015,current
Financial Intermediations,2011,184559.0,K,2015,current
Banks,2011,146633.0,A,2015,current
Insurances,2011,25795.0,A,2015,current
Others ,2011,12131.0,E,2015,current
"Real Estate, Renting and Business Activities ",2011,457896.0,A,2015,current
Public Administration and Defense ,2011,205518.0,A,2015,current
Education ,2011,136588.0,P,2015,current
Health and Social Works,2011,120801.0,Q,2015,current
"Community, Social and Personal Services",2011,662646.0,S,2015,current
Total GVA at constant basic price,2011,6179206.0,TOTAL,2015,current
GDP at constant market prices,2011,6463420.0,TOTAL,2015,current
Private,2011,6802819.0,A,2015,current
General Govt.,2011,466839.0,A,2015,current
Investment (2),2011,2511292.0,E,2015,current
Exports (3),2011,1824521.0,E,2015,current
Imports (4),2011,2518417.0,I,2015,current
Gross Domestic Product at m.p.(5),2011,9158290.0,A,2015,current
Statistical Discrepancy (6),2011,71234.0,A,2015,current
Net factor income from abroad (7),2011,725135.0,A,2015,current
Gross National Income at m.p. (8)=(5)+(7),2011,9883423.0,A,2015,current
Net current transfers from abroad (9),2011,31015.0,A,2015,current
Gross Disposible National Income (10)=(8)+(9),2011,9914438.0,A,2015,current
Gross National saving (12)=(10)-(1),2011,2644780.0,A,2015,current
Gross Domestic Product at m.p.(5),2011,6463420.0,A,2015,current
Agriculture and Forestry,2012,1388791.0,A,2015,current
Crops and Horticulture ,2012,1008993.0,A_CROP,2015,current
Animal Farmings ,2012,229987.0,A_LIVE,2015,current
Forest and Related Services ,2012,149810.0,A_FOR,2015,current
Fishing ,2012,318273.0,A_FISH,2015,current
Mining and Quarrying,2012,166504.0,B,2015,current
Natural Gas and Crude Petroleum,2012,73660.0,B,2015,current
Other Mining and Coal ,2012,92844.0,B,2015,current
Manufacturing ,2012,1679275.0,C,2015,current
Large and Medium Scale,2012,1343974.0,A,2015,current
Small Scale,2012,335301.0,A,2015,current
"Electricity, Gas and Water Supply ",2012,141894.0,D,2015,current
Electricity,2012,101891.0,D,2015,current
Gas ,2012,32997.0,D,2015,current
Water ,2012,7006.0,A,2015,current
Construction ,2012,683044.0,F,2015,current
Wholesale and Retail Trade ,2012,1373962.0,G,2015,current
Hotel and Restaurants,2012,97551.0,A,2015,current
"Transport, Storage and Communication",2012,1127023.0,H,2015,current
Land Transport,2012,833454.0,H,2015,current
Water transport,2012,70895.0,H,2015,current
Air Transport,2012,10224.0,H,2015,current
"Support transport services, storage ",2012,53913.0,N,2015,current
Post and Telecommunication,2012,158538.0,A,2015,current
Financial Intermediations,2012,363164.0,K,2015,current
Banks,2012,293511.0,A,2015,current
Insurances,2012,45841.0,A,2015,current
Others ,2012,23812.0,E,2015,current
"Real Estate, Renting and Business Activities ",2012,687147.0,A,2015,current
Public Administration and Defense ,2012,334991.0,A,2015,current
Education ,2012,250477.0,P,2015,current
Health and Social Works,2012,201327.0,Q,2015,current
"Community, Social and Personal Services",2012,1172932.0,S,2015,current
Total GVA at current basic price,2012,9986356.0,TOTAL,2015,current
Tax less subsidy,2012,565684.0,A,2015,current
GDP at current market prices,2012,10552040.0,TOTAL,2015,current
Agriculture and Forestry,2012,903322.0,A,2015,current
Crops and Horticulture ,2012,660385.0,A_CROP,2015,current
Animal Farmings ,2012,125489.0,A_LIVE,2015,current
Forest and Related Services ,2012,117448.0,A_FOR,2015,current
Fishing ,2012,242787.0,A_FISH,2015,current
Mining and Quarrying,2012,105930.0,B,2015,current
Natural Gas and Crude Petroleum,2012,66032.0,B,2015,current
Other Mining and Coal ,2012,39898.0,B,2015,current
Manufacturing ,2012,1205674.0,C,2015,current
Large and Medium Scale,2012,979983.0,A,2015,current
Small Scale,2012,225691.0,A,2015,current
"Electricity, Gas and Water Supply ",2012,92909.0,D,2015,current
Electricity,2012,77276.0,D,2015,current
Gas ,2012,10008.0,D,2015,current
Water ,2012,5625.0,A,2015,current
Construction ,2012,447089.0,F,2015,current
Wholesale and Retail Trade ,2012,924574.0,G,2015,current
Hotel and Restaurants,2012,49021.0,A,2015,current
"Transport, Storage and Communication",2012,757609.0,H,2015,current
Land Transport,2012,482827.0,H,2015,current
Water transport,2012,56765.0,H,2015,current
Air Transport,2012,9092.0,H,2015,current
"Support transport services, storage ",2012,45653.0,N,2015,current
Post and Telecommunication,2012,163271.0,A,2015,current
Financial Intermediations,2012,211797.0,K,2015,current
Banks,2012,172451.0,A,2015,current
Insurances,2012,26933.0,A,2015,current
Others ,2012,12413.0,E,2015,current
"Real Estate, Renting and Business Activities ",2012,475864.0,A,2015,current
Public Administration and Defense ,2012,220994.0,A,2015,current
Education ,2012,147175.0,P,2015,current
Health and Social Works,2012,125402.0,Q,2015,current
"Community, Social and Personal Services",2012,684163.0,S,2015,current
Total GVA at constant basic price,2012,6594308.0,TOTAL,2015,current
GDP at constant market prices,2012,6884930.0,TOTAL,2015,current
Private,2012,7780747.0,A,2015,current
General Govt.,2012,531753.0,A,2015,current
Investment (2),2012,2982253.0,E,2015,current
Exports (3),2012,2127459.0,E,2015,current
Imports (4),2012,2949225.0,I,2015,current
Gross Domestic Exp. at m.p.,2012,10472987.0,A,2015,current
Gross Domestic Product at m.p.(5),2012,10552040.0,A,2015,current
Statistical Discrepancy (6),2012,79053.0,A,2015,current
Net factor income from abroad (7),2012,893020.0,A,2015,current
Gross National Income at m.p. (8)=(5)+(7),2012,11445060.0,A,2015,current
Net current transfers from abroad (9),2012,17909.0,A,2015,current
Gross Disposible National Income (10)=(8)+(9),2012,11462969.0,A,2015,current
Gross National saving (12)=(10)-(1),2012,3150469.0,A,2015,current
Gross Domestic Product at m.p.(5),2012,6884930.0,A,2015,current
Agriculture and Forestry,2013,1487578.0,A,2015,current
Crops and Horticulture ,2013,1067941.0,A_CROP,2015,current
