year,month,rate_type,exchange_rate_value,end_of_period_rate,period_average_rate
2007,7,"National Currency per US Dollar, End of period",68.5033,1,0
2007,7,"National Currency per US Dollar, Period average",68.6439,0,1
2007,7,"US Dollars per National Currency,Period average",0.0145679368450802,0,1
2007,8,"National Currency per US Dollar, End of period",68.7,1,0
2007,8,"National Currency per US Dollar, Period average",68.5968,0,1
2007,8,"US Dollars per National Currency,Period average",0.0145779394957199,0,1
2007,9,"National Currency per US Dollar, End of period",68.7083,1,0
2007,9,"National Currency per US Dollar, Period average",68.7042,0,1
2007,9,"US Dollars per National Currency,Period average",0.0145551509223599,0,1
2007,10,"National Currency per US Dollar, End of period",68.6797,1,0
2007,10,"National Currency per US Dollar, Period average",68.7022,0,1
2007,10,"US Dollars per National Currency,Period average",0.0145555746395312,0,1
2007,11,"National Currency per US Dollar, End of period",68.6026,1,0
2007,11,"National Currency per US Dollar, Period average",68.6227,0,1
2007,11,"US Dollars per National Currency,Period average",0.014572437400452,0,1
2007,12,"National Currency per US Dollar, End of period",68.5761,1,0
2007,12,"National Currency per US Dollar, Period average",68.5871,0,1
2007,12,"US Dollars per National Currency,Period average",0.0145800011955601,0,1
2008,1,"National Currency per US Dollar, End of period",68.58,1,0
2008,1,"National Currency per US Dollar, Period average",68.5798,0,1
2008,1,"US Dollars per National Currency,Period average",0.0145815531687173,0,1
2008,2,"National Currency per US Dollar, End of period",68.5798,1,0
2008,2,"National Currency per US Dollar, Period average",68.5799,0,1
2008,2,"US Dollars per National Currency,Period average",0.014581531906579,0,1
2008,3,"National Currency per US Dollar, End of period",68.58,1,0
2008,3,"National Currency per US Dollar, Period average",68.5802,0,1
2008,3,"US Dollars per National Currency,Period average",0.0145814681205362,0,1
2008,4,"National Currency per US Dollar, End of period",68.58,1,0
2008,4,"National Currency per US Dollar, Period average",68.6278,0,1
2008,4,"US Dollars per National Currency,Period average",0.014571354465683,0,1
2008,5,"National Currency per US Dollar, End of period",68.5498,1,0
2008,5,"National Currency per US Dollar, Period average",68.5758,0,1
2008,5,"US Dollars per National Currency,Period average",0.0145824037050971,0,1
2008,6,"National Currency per US Dollar, End of period",68.5297,1,0
2008,6,"National Currency per US Dollar, Period average",68.5296,0,1
2008,6,"US Dollars per National Currency,Period average",0.0145922345964372,0,1
2008,7,"National Currency per US Dollar, End of period",68.52,1,0
2008,7,"National Currency per US Dollar, Period average",68.5151,0,1
2008,7,"US Dollars per National Currency,Period average",0.014595322782861,0,1
2008,8,"National Currency per US Dollar, End of period",68.52,1,0
2008,8,"National Currency per US Dollar, Period average",68.5199,0,1
2008,8,"US Dollars per National Currency,Period average",0.0145943003419445,0,1
2008,9,"National Currency per US Dollar, End of period",68.5148,1,0
2008,9,"National Currency per US Dollar, Period average",68.5187,0,1
2008,9,"US Dollars per National Currency,Period average",0.0145945559387437,0,1
2008,10,"National Currency per US Dollar, End of period",68.6499,1,0
2008,10,"National Currency per US Dollar, Period average",68.5458,0,1
2008,10,"US Dollars per National Currency,Period average",0.0145887858920605,0,1
2008,11,"National Currency per US Dollar, End of period",68.8,1,0
2008,11,"National Currency per US Dollar, Period average",68.7166,0,1
2008,11,"US Dollars per National Currency,Period average",0.0145525244264123,0,1
2008,12,"National Currency per US Dollar, End of period",68.92,1,0
2008,12,"National Currency per US Dollar, Period average",68.8901,0,1
2008,12,"US Dollars per National Currency,Period average",0.014515873833831,0,1
2009,1,"National Currency per US Dollar, End of period",68.9,1,0
2009,1,"National Currency per US Dollar, Period average",68.939,0,1
2009,1,"US Dollars per National Currency,Period average",0.0145055773945082,0,1
2009,2,"National Currency per US Dollar, End of period",68.9021,1,0
2009,2,"National Currency per US Dollar, Period average",68.9082,0,1
2009,2,"US Dollars per National Currency,Period average",0.0145120609738754,0,1
2009,3,"National Currency per US Dollar, End of period",69.0287,1,0
2009,3,"National Currency per US Dollar, Period average",68.9835,0,1
2009,3,"US Dollars per National Currency,Period average",0.0144962201106062,0,1
2009,4,"National Currency per US Dollar, End of period",69.0281,1,0
2009,4,"National Currency per US Dollar, Period average",69.0197,0,1
2009,4,"US Dollars per National Currency,Period average",0.0144886170180398,0,1
2009,5,"National Currency per US Dollar, End of period",69.03,1,0
2009,5,"National Currency per US Dollar, Period average",69.0268,0,1
2009,5,"US Dollars per National Currency,Period average",0.0144871267391796,0,1
2009,6,"National Currency per US Dollar, End of period",69.06,1,0
2009,6,"National Currency per US Dollar, Period average",69.0455,0,1
2009,6,"US Dollars per National Currency,Period average",0.0144832031051987,0,1
2009,7,"National Currency per US Dollar, End of period",69.06,1,0
2009,7,"National Currency per US Dollar, Period average",69.06,0,1
2009,7,"US Dollars per National Currency,Period average",0.0144801621778164,0,1
2009,8,"National Currency per US Dollar, End of period",69.06,1,0
2009,8,"National Currency per US Dollar, Period average",69.06,0,1
2009,8,"US Dollars per National Currency,Period average",0.0144801621778164,0,1
2009,9,"National Currency per US Dollar, End of period",69.06,1,0
2009,9,"National Currency per US Dollar, Period average",69.06,0,1
